,row,date,reason,details
0,106968,2008-09-16,Invalid OHLC Logic,O:998.50 H:1006.75 L:1001.00 C:1006.00
1,106973,2008-09-16,Invalid OHLC Logic,O:981.25 H:988.50 L:978.00 C:1002.75
2,106974,2008-09-16,Invalid OHLC Logic,O:1001.25 H:999.50 L:998.75 C:999.00
3,106986,2008-09-16,Invalid OHLC Logic,O:993.25 H:988.25 L:973.25 C:980.50
4,106991,2008-09-16,Invalid OHLC Logic,O:998.75 H:1001.25 L:1000.25 C:1000.25
5,107175,2008-09-17,Invalid OHLC Logic,O:999.00 H:1005.50 L:1002.50 C:1005.25
6,107176,2008-09-17,Invalid OHLC Logic,O:997.75 H:999.00 L:996.75 C:999.25
7,107234,2008-09-17,Invalid OHLC Logic,O:1006.25 H:1006.50 L:1004.25 C:999.00
8,107235,2008-09-17,Invalid OHLC Logic,O:999.25 H:999.00 L:995.75 C:996.00
9,107239,2008-09-18,Invalid OHLC Logic,O:1000.50 H:1012.75 L:1004.25 C:1004.25
10,107241,2008-09-18,Invalid OHLC Logic,O:1011.25 H:1012.50 L:1005.00 C:1003.25
11,107655,2008-09-23,Invalid OHLC Logic,O:1003.50 H:999.50 L:993.50 C:996.00
12,107668,2008-09-23,Invalid OHLC Logic,O:996.50 H:1007.50 L:1004.25 C:1005.00
13,107682,2008-09-23,Invalid OHLC Logic,O:994.25 H:996.50 L:991.25 C:1000.00
14,107687,2008-09-23,Invalid OHLC Logic,O:1000.25 H:1000.50 L:1000.00 C:999.50
15,107692,2008-09-23,Invalid OHLC Logic,O:1000.00 H:1001.25 L:1000.50 C:1000.75
16,107693,2008-09-23,Invalid OHLC Logic,O:998.00 H:998.75 L:997.50 C:1000.25
17,107699,2008-09-23,Invalid OHLC Logic,O:1000.25 H:1000.50 L:1000.00 C:999.75
18,107701,2008-09-23,Invalid OHLC Logic,O:1001.00 H:1001.25 L:1000.75 C:999.25
19,107713,2008-09-23,Invalid OHLC Logic,O:999.75 H:999.00 L:997.25 C:998.75
20,107719,2008-09-23,Invalid OHLC Logic,O:996.50 H:998.25 L:996.50 C:1000.00
21,107871,2008-09-24,Invalid OHLC Logic,O:999.50 H:1001.00 L:1000.00 C:1000.25
22,107873,2008-09-24,Invalid OHLC Logic,O:1000.00 H:1001.25 L:1000.25 C:1000.25
23,107882,2008-09-24,Invalid OHLC Logic,O:999.75 H:999.25 L:998.50 C:998.75
24,107886,2008-09-24,Invalid OHLC Logic,O:999.75 H:998.25 L:997.50 C:998.00
25,107895,2008-09-24,Invalid OHLC Logic,O:1002.25 H:1003.00 L:1002.00 C:1000.75
26,107896,2008-09-24,Invalid OHLC Logic,O:999.50 H:1001.25 L:1000.00 C:1000.75
27,107910,2008-09-24,Invalid OHLC Logic,O:1001.00 H:1001.75 L:1000.75 C:999.25
28,107995,2008-09-25,Invalid OHLC Logic,O:1001.00 H:999.25 L:995.50 C:997.25
29,108042,2008-09-25,Invalid OHLC Logic,O:993.00 H:999.00 L:992.75 C:1000.25
30,108050,2008-09-25,Invalid OHLC Logic,O:997.75 H:998.25 L:997.25 C:999.25
31,108053,2008-09-25,Invalid OHLC Logic,O:1000.50 H:999.00 L:996.25 C:997.25
32,108069,2008-09-25,Invalid OHLC Logic,O:995.00 H:996.75 L:994.25 C:999.50
33,108076,2008-09-26,Invalid OHLC Logic,O:1000.50 H:998.00 L:992.75 C:996.50
34,108077,2008-09-26,Invalid OHLC Logic,O:996.75 H:999.00 L:996.50 C:999.75
35,108093,2008-09-26,Invalid OHLC Logic,O:1000.75 H:999.25 L:995.50 C:998.00
36,108102,2008-09-26,Invalid OHLC Logic,O:998.00 H:1002.50 L:1000.75 C:1001.25
37,108115,2008-09-26,Invalid OHLC Logic,O:996.75 H:999.00 L:996.00 C:999.75
38,108296,2008-09-29,Invalid OHLC Logic,O:1000.75 H:999.75 L:997.75 C:998.25
39,161753,2010-04-05,Invalid OHLC Logic,O:1001.00 H:1001.25 L:1000.50 C:1000.00
40,161777,2010-04-05,Invalid OHLC Logic,O:1000.50 H:1001.00 L:1000.25 C:999.75
41,161778,2010-04-05,Invalid OHLC Logic,O:999.75 H:1001.00 L:1000.25 C:1000.50
42,161794,2010-04-05,Invalid OHLC Logic,O:999.75 H:1000.75 L:1000.00 C:1000.50
43,161981,2010-04-06,Invalid OHLC Logic,O:1000.25 H:1000.25 L:1000.00 C:999.50
44,161982,2010-04-06,Invalid OHLC Logic,O:999.75 H:999.75 L:999.25 C:1000.25
45,161983,2010-04-06,Invalid OHLC Logic,O:1000.00 H:1000.25 L:1000.00 C:999.75
46,161991,2010-04-06,Invalid OHLC Logic,O:999.25 H:999.75 L:999.00 C:1000.25
47,161992,2010-04-06,Invalid OHLC Logic,O:1000.00 H:998.50 L:997.25 C:998.25
48,162002,2010-04-06,Invalid OHLC Logic,O:999.00 H:999.25 L:997.75 C:999.75
49,162026,2010-04-06,Invalid OHLC Logic,O:999.50 H:999.50 L:999.25 C:999.75
50,162063,2010-04-07,Invalid OHLC Logic,O:1000.00 H:999.75 L:998.25 C:999.50
51,162149,2010-04-07,Invalid OHLC Logic,O:1001.50 H:999.50 L:997.75 C:998.75
52,162154,2010-04-07,Invalid OHLC Logic,O:999.00 H:999.25 L:997.50 C:1000.00
53,162156,2010-04-07,Invalid OHLC Logic,O:1000.00 H:999.50 L:998.75 C:999.50
54,162193,2010-04-08,Invalid OHLC Logic,O:999.00 H:999.25 L:998.50 C:999.50
55,163168,2010-04-19,Invalid OHLC Logic,O:1000.75 H:1003.00 L:1001.25 C:1002.50
56,163977,2010-04-27,Invalid OHLC Logic,O:1001.25 H:999.25 L:996.25 C:998.50
57,163978,2010-04-27,Invalid OHLC Logic,O:1000.25 H:999.00 L:998.00 C:998.50
58,163981,2010-04-27,Invalid OHLC Logic,O:999.25 H:999.75 L:999.00 C:1000.00
59,163984,2010-04-27,Invalid OHLC Logic,O:1000.00 H:999.75 L:999.25 C:999.50
60,163985,2010-04-27,Invalid OHLC Logic,O:998.50 H:999.50 L:998.00 C:1000.75
61,164023,2010-04-27,Invalid OHLC Logic,O:999.25 H:999.25 L:999.00 C:1000.00
62,164033,2010-04-27,Invalid OHLC Logic,O:999.50 H:999.75 L:999.50 C:1000.50
63,164038,2010-04-27,Invalid OHLC Logic,O:1001.00 H:1001.25 L:1000.25 C:999.25
64,164182,2010-04-28,Invalid OHLC Logic,O:999.50 H:1003.25 L:1000.25 C:1002.25
65,164218,2010-04-28,Invalid OHLC Logic,O:1003.75 H:1004.25 L:1002.00 C:999.50
66,164238,2010-04-28,Invalid OHLC Logic,O:999.50 H:1001.75 L:1000.50 C:1000.75
67,164240,2010-04-28,Invalid OHLC Logic,O:1000.00 H:999.00 L:997.75 C:999.00
68,164245,2010-04-28,Invalid OHLC Logic,O:999.25 H:1001.75 L:1000.75 C:1001.75
69,164790,2010-05-04,Invalid OHLC Logic,O:999.00 H:999.25 L:997.25 C:999.75
70,180742,2010-10-13,Invalid OHLC Logic,O:998.75 H:999.25 L:998.50 C:999.50
71,180773,2010-10-13,Invalid OHLC Logic,O:999.75 H:999.00 L:997.50 C:998.00
72,180774,2010-10-13,Invalid OHLC Logic,O:998.00 H:999.50 L:997.00 C:1001.25
73,180777,2010-10-13,Invalid OHLC Logic,O:1000.25 H:1002.00 L:1001.00 C:1001.25
74,180800,2010-10-13,Invalid OHLC Logic,O:1001.00 H:1001.00 L:1000.50 C:1000.25
75,180807,2010-10-14,Invalid OHLC Logic,O:998.50 H:1002.00 L:1000.00 C:1001.25
76,180838,2010-10-14,Invalid OHLC Logic,O:998.75 H:999.25 L:998.75 C:1000.00
77,180842,2010-10-14,Invalid OHLC Logic,O:1000.25 H:999.75 L:999.00 C:999.25
78,180862,2010-10-14,Invalid OHLC Logic,O:1000.00 H:999.75 L:999.25 C:999.75
79,180871,2010-10-14,Invalid OHLC Logic,O:1001.00 H:1001.75 L:1000.00 C:998.25
80,180899,2010-10-14,Invalid OHLC Logic,O:1000.00 H:999.00 L:997.50 C:997.50
81,180909,2010-10-14,Invalid OHLC Logic,O:1002.75 H:1003.00 L:1001.00 C:1000.25
82,180912,2010-10-14,Invalid OHLC Logic,O:1001.25 H:1001.50 L:1000.00 C:999.75
83,180913,2010-10-14,Invalid OHLC Logic,O:999.50 H:1002.75 L:1000.50 C:1001.00
84,180922,2010-10-14,Invalid OHLC Logic,O:999.25 H:999.50 L:998.00 C:1000.50
85,180944,2010-10-15,Invalid OHLC Logic,O:998.50 H:1001.50 L:1000.25 C:1000.25
86,180952,2010-10-15,Invalid OHLC Logic,O:998.75 H:998.00 L:995.75 C:997.50
87,180954,2010-10-15,Invalid OHLC Logic,O:1003.00 H:1003.00 L:1000.75 C:1000.00
88,180975,2010-10-15,Invalid OHLC Logic,O:1000.00 H:999.00 L:998.00 C:998.50
89,180976,2010-10-15,Invalid OHLC Logic,O:999.00 H:999.75 L:998.50 C:1000.00
90,180986,2010-10-15,Invalid OHLC Logic,O:999.75 H:998.50 L:997.00 C:997.75
91,181015,2010-10-15,Invalid OHLC Logic,O:999.75 H:1001.25 L:1000.50 C:1001.00
92,181023,2010-10-15,Invalid OHLC Logic,O:999.75 H:999.25 L:998.25 C:999.25
93,181025,2010-10-15,Invalid OHLC Logic,O:1000.00 H:999.75 L:998.75 C:999.50
94,181027,2010-10-15,Invalid OHLC Logic,O:999.50 H:999.25 L:998.50 C:998.50
95,181028,2010-10-15,Invalid OHLC Logic,O:1000.50 H:1000.75 L:1000.25 C:999.25
96,181029,2010-10-15,Invalid OHLC Logic,O:999.25 H:999.50 L:999.00 C:1000.00
97,181069,2010-10-17,Invalid OHLC Logic,O:999.75 H:1000.50 L:1000.00 C:1000.25
98,181071,2010-10-17,Invalid OHLC Logic,O:999.75 H:1000.50 L:1000.00 C:1000.00
99,181082,2010-10-18,Invalid OHLC Logic,O:1002.25 H:1003.00 L:1001.75 C:999.25
100,181085,2010-10-18,Invalid OHLC Logic,O:999.75 H:1002.25 L:1000.00 C:1002.00
101,181123,2010-10-18,Invalid OHLC Logic,O:1000.25 H:999.75 L:999.50 C:999.50
102,181126,2010-10-18,Invalid OHLC Logic,O:1000.75 H:1000.75 L:1000.25 C:999.75
103,181129,2010-10-18,Invalid OHLC Logic,O:999.50 H:1000.50 L:1000.00 C:1000.00
104,181183,2010-10-18,Invalid OHLC Logic,O:999.75 H:1001.25 L:1000.50 C:1001.00
105,181188,2010-10-18,Invalid OHLC Logic,O:999.75 H:1002.75 L:1000.00 C:1002.50
106,181201,2010-10-18,Invalid OHLC Logic,O:998.00 H:999.75 L:997.50 C:1000.00
107,181210,2010-10-18,Invalid OHLC Logic,O:1000.00 H:1001.00 L:1000.25 C:1000.25
108,181233,2010-10-19,Invalid OHLC Logic,O:1000.75 H:1001.50 L:1000.75 C:1000.00
109,181235,2010-10-19,Invalid OHLC Logic,O:1000.50 H:999.50 L:998.75 C:999.25
110,181284,2010-10-19,Invalid OHLC Logic,O:998.75 H:999.50 L:998.50 C:1000.50
111,181298,2010-10-19,Invalid OHLC Logic,O:999.75 H:1001.25 L:1000.50 C:1000.75
112,181307,2010-10-19,Invalid OHLC Logic,O:999.75 H:999.50 L:998.50 C:998.50
113,181316,2010-10-19,Invalid OHLC Logic,O:999.75 H:1000.75 L:1000.00 C:1000.50
114,181351,2010-10-19,Invalid OHLC Logic,O:999.50 H:999.25 L:996.75 C:997.00
115,181401,2010-10-20,Invalid OHLC Logic,O:1000.50 H:1000.75 L:1000.25 C:1000.00
116,181402,2010-10-20,Invalid OHLC Logic,O:999.75 H:1002.25 L:1000.75 C:1001.75
117,181473,2010-10-20,Invalid OHLC Logic,O:997.25 H:999.75 L:997.00 C:1001.50
118,181507,2010-10-21,Invalid OHLC Logic,O:999.25 H:1001.75 L:1000.50 C:1001.00
119,181523,2010-10-21,Invalid OHLC Logic,O:1001.00 H:998.75 L:995.50 C:996.50
120,182068,2010-10-27,Invalid OHLC Logic,O:999.75 H:999.25 L:998.50 C:999.00
121,182078,2010-10-27,Invalid OHLC Logic,O:999.50 H:999.50 L:998.25 C:1000.00
122,183995,2010-11-16,Invalid OHLC Logic,O:1000.25 H:1002.50 L:1000.75 C:1000.75
123,209767,2011-08-08,Invalid OHLC Logic,O:1001.25 H:998.50 L:994.50 C:997.75
124,209868,2011-08-08,Invalid OHLC Logic,O:996.00 H:999.25 L:994.00 C:1006.75
125,209871,2011-08-08,Invalid OHLC Logic,O:1003.50 H:1004.00 L:1000.00 C:996.00
126,209891,2011-08-09,Invalid OHLC Logic,O:996.75 H:1013.25 L:1000.25 C:1012.75
127,210154,2011-08-10,Invalid OHLC Logic,O:1003.00 H:1003.25 L:1000.25 C:998.50
128,210195,2011-08-11,Invalid OHLC Logic,O:994.75 H:998.00 L:994.75 C:999.25
129,210197,2011-08-11,Invalid OHLC Logic,O:1001.00 H:1005.50 L:1001.25 C:1003.75
130,210200,2011-08-11,Invalid OHLC Logic,O:1000.50 H:1005.25 L:1002.00 C:1004.75
131,210216,2011-08-11,Invalid OHLC Logic,O:1003.50 H:1003.75 L:1002.00 C:1000.25
132,210217,2011-08-11,Invalid OHLC Logic,O:1000.00 H:1002.75 L:1001.00 C:1002.75
133,210360,2011-08-12,Invalid OHLC Logic,O:993.25 H:996.75 L:993.25 C:998.00
134,210362,2011-08-12,Invalid OHLC Logic,O:1000.50 H:997.00 L:993.25 C:996.75
135,210363,2011-08-12,Invalid OHLC Logic,O:998.00 H:998.75 L:997.50 C:1000.25
136,210367,2011-08-12,Invalid OHLC Logic,O:1000.50 H:1003.00 L:1001.25 C:1002.50
137,210368,2011-08-12,Invalid OHLC Logic,O:998.50 H:999.25 L:998.25 C:1000.75
138,210370,2011-08-12,Invalid OHLC Logic,O:1001.00 H:999.75 L:998.50 C:999.25
139,210371,2011-08-12,Invalid OHLC Logic,O:1000.00 H:1001.75 L:1000.75 C:1000.75
140,210374,2011-08-12,Invalid OHLC Logic,O:1000.00 H:999.75 L:998.75 C:999.50
141,210382,2011-08-12,Invalid OHLC Logic,O:1001.50 H:1005.50 L:1002.25 C:1003.00
142,210384,2011-08-12,Invalid OHLC Logic,O:1001.25 H:1003.50 L:1001.00 C:1000.00
143,210975,2011-08-18,Invalid OHLC Logic,O:1002.75 H:1004.25 L:1000.50 C:998.50
144,211279,2011-08-23,Invalid OHLC Logic,O:992.00 H:998.00 L:991.75 C:1000.50
145,211283,2011-08-23,Invalid OHLC Logic,O:999.00 H:999.50 L:997.00 C:1002.25
146,211335,2011-08-23,Invalid OHLC Logic,O:1000.50 H:1001.00 L:1000.25 C:999.00
147,211339,2011-08-23,Invalid OHLC Logic,O:999.25 H:999.50 L:999.00 C:1000.50
148,211340,2011-08-23,Invalid OHLC Logic,O:999.75 H:999.50 L:999.00 C:999.25
149,211346,2011-08-23,Invalid OHLC Logic,O:1000.25 H:999.75 L:999.00 C:999.50
150,211525,2011-08-24,Invalid OHLC Logic,O:1000.00 H:1002.25 L:1000.50 C:1000.75
151,211528,2011-08-24,Invalid OHLC Logic,O:1001.25 H:1001.75 L:1000.50 C:999.75
152,211530,2011-08-24,Invalid OHLC Logic,O:999.00 H:1007.00 L:1001.75 C:1006.50
153,211531,2011-08-24,Invalid OHLC Logic,O:1001.00 H:1003.00 L:1000.25 C:1000.00
154,211561,2011-08-25,Invalid OHLC Logic,O:1003.50 H:1004.75 L:1001.25 C:1000.75
155,211567,2011-08-25,Invalid OHLC Logic,O:1001.25 H:1001.25 L:1000.50 C:997.75
156,211582,2011-08-25,Invalid OHLC Logic,O:999.00 H:999.75 L:996.50 C:1001.00
157,211699,2011-08-26,Invalid OHLC Logic,O:1006.00 H:1007.25 L:1002.25 C:1000.50
158,211707,2011-08-26,Invalid OHLC Logic,O:987.00 H:994.50 L:986.25 C:995.75
159,211746,2011-08-26,Invalid OHLC Logic,O:1000.25 H:1007.25 L:1002.75 C:1005.50
160,211771,2011-08-26,Invalid OHLC Logic,O:1002.00 H:1004.00 L:1002.00 C:1000.25
161,211778,2011-08-26,Invalid OHLC Logic,O:1000.00 H:1003.25 L:1001.00 C:1002.50
162,212619,2011-09-05,Invalid OHLC Logic,O:1000.75 H:1001.25 L:1000.25 C:999.50
163,212620,2011-09-05,Invalid OHLC Logic,O:999.50 H:1001.00 L:1000.00 C:1000.75
164,212622,2011-09-05,Invalid OHLC Logic,O:1001.50 H:1001.75 L:1000.75 C:1000.00
165,212634,2011-09-06,Invalid OHLC Logic,O:997.00 H:997.75 L:995.50 C:1000.75
166,212644,2011-09-06,Invalid OHLC Logic,O:999.50 H:998.50 L:996.25 C:996.75
167,212659,2011-09-06,Invalid OHLC Logic,O:997.50 H:999.75 L:997.00 C:1001.50
168,212660,2011-09-06,Invalid OHLC Logic,O:1001.50 H:1002.00 L:1000.25 C:999.75
169,213076,2011-09-09,Invalid OHLC Logic,O:996.50 H:999.50 L:996.00 C:1000.50
170,213078,2011-09-09,Invalid OHLC Logic,O:997.50 H:998.25 L:995.50 C:999.00
171,213090,2011-09-09,Invalid OHLC Logic,O:1000.00 H:998.75 L:996.25 C:997.75
172,213092,2011-09-09,Invalid OHLC Logic,O:1000.00 H:1004.00 L:1000.50 C:1001.00
173,213094,2011-09-09,Invalid OHLC Logic,O:995.25 H:996.00 L:994.25 C:1000.00
174,213188,2011-09-12,Invalid OHLC Logic,O:997.00 H:1005.25 L:1001.75 C:1004.75
175,213296,2011-09-12,Invalid OHLC Logic,O:995.75 H:996.75 L:994.25 C:998.25
176,213399,2011-09-13,Invalid OHLC Logic,O:1001.50 H:1002.75 L:1000.75 C:999.00
177,213457,2011-09-13,Invalid OHLC Logic,O:998.50 H:1003.25 L:1000.00 C:1002.75
178,213459,2011-09-13,Invalid OHLC Logic,O:1007.75 H:1008.00 L:1002.75 C:998.75
179,213550,2011-09-14,Invalid OHLC Logic,O:1001.00 H:1001.00 L:1000.75 C:998.50
180,213552,2011-09-14,Invalid OHLC Logic,O:999.25 H:1002.50 L:1000.50 C:1002.00
181,213569,2011-09-14,Invalid OHLC Logic,O:998.25 H:999.00 L:998.00 C:1000.75
182,214399,2011-09-22,Invalid OHLC Logic,O:1000.25 H:999.50 L:997.00 C:998.50
183,214401,2011-09-22,Invalid OHLC Logic,O:1000.00 H:997.00 L:995.50 C:996.75
184,214574,2011-09-26,Invalid OHLC Logic,O:998.50 H:998.50 L:996.50 C:1000.50
185,214575,2011-09-26,Invalid OHLC Logic,O:1000.50 H:1004.00 L:1001.75 C:1002.75
186,214857,2011-09-28,Invalid OHLC Logic,O:1004.50 H:1004.75 L:1002.25 C:998.25
187,214898,2011-09-28,Invalid OHLC Logic,O:998.50 H:999.75 L:998.50 C:1000.75
188,215019,2011-09-29,Invalid OHLC Logic,O:1000.25 H:999.00 L:994.00 C:994.25
189,215032,2011-09-29,Invalid OHLC Logic,O:1000.50 H:1001.00 L:1000.00 C:998.75
190,215037,2011-09-29,Invalid OHLC Logic,O:999.25 H:999.25 L:997.75 C:999.50
191,215109,2011-09-29,Invalid OHLC Logic,O:1005.25 H:1006.00 L:1002.00 C:1001.25
192,215188,2011-09-30,Invalid OHLC Logic,O:999.50 H:999.25 L:997.25 C:999.00
193,215196,2011-09-30,Invalid OHLC Logic,O:999.00 H:1001.75 L:1000.50 C:1001.00
194,215204,2011-09-30,Invalid OHLC Logic,O:998.75 H:999.25 L:998.00 C:1000.50
195,215211,2011-09-30,Invalid OHLC Logic,O:1000.25 H:998.50 L:996.00 C:996.50
196,215689,2011-10-06,Invalid OHLC Logic,O:1002.75 H:1004.00 L:1000.25 C:998.00
197,215709,2011-10-06,Invalid OHLC Logic,O:1000.75 H:999.25 L:997.50 C:999.25
198,215710,2011-10-06,Invalid OHLC Logic,O:1003.50 H:1004.00 L:1000.25 C:999.75
199,215785,2011-10-06,Invalid OHLC Logic,O:996.25 H:998.75 L:996.25 C:1001.00
200,215853,2011-10-07,Invalid OHLC Logic,O:1000.25 H:1004.75 L:1002.50 C:1003.25
201,215865,2011-10-07,Invalid OHLC Logic,O:997.00 H:997.50 L:995.75 C:999.25
202,215871,2011-10-07,Invalid OHLC Logic,O:999.00 H:998.00 L:995.50 C:996.75
203,220655,2011-11-25,Invalid OHLC Logic,O:1000.75 H:1003.75 L:1001.00 C:1003.25
204,220707,2011-11-25,Invalid OHLC Logic,O:999.25 H:1002.00 L:1000.25 C:1000.75
205,220713,2011-11-25,Invalid OHLC Logic,O:997.75 H:998.50 L:997.00 C:1000.50
206,220716,2011-11-25,Invalid OHLC Logic,O:1000.50 H:999.75 L:999.00 C:999.50
207,220717,2011-11-25,Invalid OHLC Logic,O:1001.00 H:1002.50 L:1001.00 C:1000.25
208,220718,2011-11-25,Invalid OHLC Logic,O:1000.00 H:1002.25 L:1000.50 C:1001.25
209,220719,2011-11-25,Invalid OHLC Logic,O:1001.75 H:1001.75 L:1000.50 C:1000.00
210,220722,2011-11-25,Invalid OHLC Logic,O:999.75 H:1003.00 L:1001.25 C:1002.50
