Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumTriggers,NumHits,PctCompletion
Downside,-1.0,0930,0.236,1500,18,1,5.56
Downside,-1.0,0940,0.236,1100,75,1,1.33
Downside,-1.0,0940,0.236,1500,75,4,5.33
Downside,-1.0,0940,0.382,1100,75,1,1.33
Downside,-1.0,0940,0.382,1500,75,2,2.67
Downside,-1.0,0940,0.5,1100,75,1,1.33
Downside,-1.0,0940,0.5,1500,75,1,1.33
Downside,-1.0,0940,0.618,1100,75,1,1.33
Downside,-1.0,0940,0.618,1500,75,1,1.33
Downside,-1.0,0940,0.786,1100,75,1,1.33
Downside,-1.0,0940,0.786,1500,75,1,1.33
Downside,-1.0,0940,1.0,1100,75,1,1.33
Downside,-1.0,0950,0.236,1500,21,1,4.76
Downside,-1.0,0950,0.382,1500,21,1,4.76
Downside,-1.0,1000,0.236,1300,87,2,2.3
Downside,-1.0,1000,0.236,1400,87,2,2.3
Downside,-1.0,1000,0.236,1500,87,3,3.45
Downside,-1.0,1000,0.382,1300,87,1,1.15
Downside,-1.0,1000,0.382,1400,87,2,2.3
Downside,-1.0,1000,0.382,1500,87,3,3.45
Downside,-1.0,1000,0.5,1300,87,1,1.15
Downside,-1.0,1000,0.5,1400,87,2,2.3
Downside,-1.0,1000,0.5,1500,87,1,1.15
Downside,-1.0,1000,0.618,1400,87,1,1.15
Downside,-1.0,1000,0.618,1500,87,2,2.3
Downside,-1.0,1000,0.786,1500,87,2,2.3
Downside,-1.0,1100,0.236,1400,53,1,1.89
Downside,-1.0,1100,0.236,1500,53,1,1.89
Downside,-1.0,1300,0.236,1400,36,1,2.78
Downside,-1.0,1300,0.382,1400,36,1,2.78
Downside,-1.0,1300,0.5,1400,36,1,2.78
Downside,-1.0,1300,0.618,1400,36,1,2.78
Downside,-1.0,1300,0.786,1500,36,1,2.78
Downside,-1.0,1300,1.0,1500,36,1,2.78
Downside,-1.0,1400,0.236,1500,43,1,2.33
Downside,-1.0,OPEN,0.236,0900,23,1,4.35
Downside,-1.0,OPEN,0.382,0900,23,1,4.35
Downside,-1.0,OPEN,0.5,0900,23,1,4.35
Downside,-1.0,OPEN,0.618,0900,23,1,4.35
Downside,-1.0,OPEN,0.786,0900,23,1,4.35
Downside,-1.0,OPEN,1.0,0900,23,1,4.35
Downside,-0.786,0930,-1.0,0900,35,25,71.43
Downside,-0.786,0930,-1.0,1000,35,5,14.29
Downside,-0.786,0930,-1.0,1100,35,1,2.86
Downside,-0.786,0930,-1.0,1200,35,1,2.86
Downside,-0.786,0930,-1.0,1400,35,1,2.86
Downside,-0.786,0930,0.236,1300,35,1,2.86
Downside,-0.786,0930,0.236,1500,35,1,2.86
Downside,-0.786,0930,0.382,1500,35,1,2.86
Downside,-0.786,0930,0.5,1500,35,1,2.86
Downside,-0.786,0930,0.618,1500,35,1,2.86
Downside,-0.786,0930,0.786,1500,35,1,2.86
Downside,-0.786,0940,-1.0,0900,106,64,60.38
Downside,-0.786,0940,-1.0,1000,106,19,17.92
Downside,-0.786,0940,-1.0,1100,106,3,2.83
Downside,-0.786,0940,-1.0,1200,106,1,0.94
Downside,-0.786,0940,-1.0,1300,106,1,0.94
Downside,-0.786,0940,-1.0,1400,106,1,0.94
Downside,-0.786,0940,-1.0,1500,106,1,0.94
Downside,-0.786,0940,0.236,1000,106,1,0.94
Downside,-0.786,0940,0.236,1100,106,1,0.94
Downside,-0.786,0940,0.236,1300,106,1,0.94
Downside,-0.786,0940,0.236,1400,106,2,1.89
Downside,-0.786,0940,0.236,1500,106,7,6.6
Downside,-0.786,0940,0.382,1100,106,2,1.89
Downside,-0.786,0940,0.382,1300,106,1,0.94
Downside,-0.786,0940,0.382,1400,106,1,0.94
Downside,-0.786,0940,0.382,1500,106,3,2.83
Downside,-0.786,0940,0.5,1100,106,2,1.89
Downside,-0.786,0940,0.5,1300,106,1,0.94
Downside,-0.786,0940,0.5,1400,106,1,0.94
Downside,-0.786,0940,0.618,1100,106,2,1.89
Downside,-0.786,0940,0.786,1100,106,1,0.94
Downside,-0.786,0940,1.0,1100,106,1,0.94
Downside,-0.786,0950,-1.0,0900,30,1,3.33
Downside,-0.786,0950,-1.0,1000,30,16,53.33
Downside,-0.786,0950,-1.0,1100,30,1,3.33
Downside,-0.786,0950,-1.0,1300,30,1,3.33
Downside,-0.786,0950,-1.0,1400,30,1,3.33
Downside,-0.786,0950,-1.0,1500,30,1,3.33
Downside,-0.786,0950,0.236,1400,30,1,3.33
Downside,-0.786,0950,0.236,1500,30,1,3.33
Downside,-0.786,1000,-1.0,1000,124,47,37.9
Downside,-0.786,1000,-1.0,1100,124,22,17.74
Downside,-0.786,1000,-1.0,1200,124,8,6.45
Downside,-0.786,1000,-1.0,1300,124,4,3.23
Downside,-0.786,1000,-1.0,1400,124,8,6.45
Downside,-0.786,1000,-1.0,1500,124,3,2.42
Downside,-0.786,1000,0.236,1100,124,2,1.61
Downside,-0.786,1000,0.236,1300,124,2,1.61
Downside,-0.786,1000,0.236,1400,124,2,1.61
Downside,-0.786,1000,0.236,1500,124,3,2.42
Downside,-0.786,1000,0.382,1100,124,2,1.61
Downside,-0.786,1000,0.382,1400,124,2,1.61
Downside,-0.786,1000,0.382,1500,124,3,2.42
Downside,-0.786,1000,0.5,1100,124,1,0.81
Downside,-0.786,1000,0.5,1300,124,1,0.81
Downside,-0.786,1000,0.5,1400,124,2,1.61
Downside,-0.786,1000,0.5,1500,124,1,0.81
Downside,-0.786,1000,0.618,1100,124,1,0.81
Downside,-0.786,1000,0.618,1400,124,2,1.61
Downside,-0.786,1000,0.618,1500,124,2,1.61
Downside,-0.786,1000,0.786,1100,124,1,0.81
Downside,-0.786,1000,0.786,1500,124,2,1.61
Downside,-0.786,1000,1.0,1300,124,1,0.81
Downside,-0.786,1100,-1.0,1100,79,26,32.91
Downside,-0.786,1100,-1.0,1200,79,11,13.92
Downside,-0.786,1100,-1.0,1300,79,6,7.59
Downside,-0.786,1100,-1.0,1400,79,5,6.33
Downside,-0.786,1100,-1.0,1500,79,5,6.33
Downside,-0.786,1100,0.236,1400,79,1,1.27
Downside,-0.786,1100,0.236,1500,79,5,6.33
Downside,-0.786,1200,-1.0,1200,47,12,25.53
Downside,-0.786,1200,-1.0,1300,47,13,27.66
Downside,-0.786,1200,-1.0,1500,47,6,12.77
Downside,-0.786,1200,0.236,1400,47,2,4.26
Downside,-0.786,1200,0.236,1500,47,2,4.26
Downside,-0.786,1200,0.382,1400,47,2,4.26
Downside,-0.786,1200,0.382,1500,47,1,2.13
Downside,-0.786,1200,0.5,1400,47,1,2.13
Downside,-0.786,1200,0.5,1500,47,1,2.13
Downside,-0.786,1200,0.618,1400,47,1,2.13
Downside,-0.786,1200,0.618,1500,47,1,2.13
Downside,-0.786,1200,0.786,1500,47,2,4.26
Downside,-0.786,1200,1.0,1500,47,1,2.13
Downside,-0.786,1300,-1.0,1300,42,11,26.19
Downside,-0.786,1300,-1.0,1400,42,9,21.43
Downside,-0.786,1300,-1.0,1500,42,6,14.29
Downside,-0.786,1300,0.236,1400,42,1,2.38
Downside,-0.786,1400,-1.0,1400,49,18,36.73
Downside,-0.786,1400,-1.0,1500,49,10,20.41
Downside,-0.786,1500,-1.0,1500,71,26,36.62
Downside,-0.786,1500,-1.0,1600,71,1,1.41
