Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumTriggers,NumHits,PctCompletion
Upside,0.0,OPEN,-1.0,0900,437.0,1,0.23
Upside,0.0,OPEN,-1.0,1000,437.0,10,2.29
Upside,0.0,OPEN,-1.0,1100,437.0,14,3.2
Upside,0.0,OPEN,-1.0,1200,437.0,11,2.52
Upside,0.0,OPEN,-1.0,1300,437.0,13,2.97
Upside,0.0,OPEN,-1.0,1400,437.0,17,3.89
Upside,0.0,OPEN,-1.0,1500,437.0,25,5.72
Upside,0.0,OPEN,-1.0,1600,437.0,1,0.23
Upside,0.0,OPEN,-0.786,0900,437.0,3,0.69
Upside,0.0,OPEN,-0.786,1000,437.0,22,5.03
Upside,0.0,OPEN,-0.786,1100,437.0,24,5.49
Upside,0.0,OPEN,-0.786,1200,437.0,18,4.12
Upside,0.0,OPEN,-0.786,1300,437.0,17,3.89
Upside,0.0,OPEN,-0.786,1400,437.0,23,5.26
Upside,0.0,OPEN,-0.786,1500,437.0,37,8.47
Upside,0.0,OPEN,-0.618,0900,437.0,5,1.14
Upside,0.0,OPEN,-0.618,1000,437.0,42,9.61
Upside,0.0,OPEN,-0.618,1100,437.0,24,5.49
Upside,0.0,OPEN,-0.618,1200,437.0,32,7.32
Upside,0.0,OPEN,-0.618,1300,437.0,29,6.64
Upside,0.0,OPEN,-0.618,1400,437.0,29,6.64
Upside,0.0,OPEN,-0.618,1500,437.0,42,9.61
Upside,0.0,OPEN,-0.5,0900,437.0,12,2.75
Upside,0.0,OPEN,-0.5,1000,437.0,62,14.19
Upside,0.0,OPEN,-0.5,1100,437.0,44,10.07
Upside,0.0,OPEN,-0.5,1200,437.0,41,9.38
Upside,0.0,OPEN,-0.5,1300,437.0,24,5.49
Upside,0.0,OPEN,-0.5,1400,437.0,33,7.55
Upside,0.0,OPEN,-0.5,1500,437.0,49,11.21
Upside,0.0,OPEN,-0.382,0900,437.0,34,7.78
Upside,0.0,OPEN,-0.382,1000,437.0,95,21.74
Upside,0.0,OPEN,-0.382,1100,437.0,72,16.48
Upside,0.0,OPEN,-0.382,1200,437.0,39,8.92
Upside,0.0,OPEN,-0.382,1300,437.0,38,8.7
Upside,0.0,OPEN,-0.382,1400,437.0,45,10.3
Upside,0.0,OPEN,-0.382,1500,437.0,44,10.07
Upside,0.0,OPEN,-0.236,0900,437.0,92,21.05
Upside,0.0,OPEN,-0.236,1000,437.0,151,34.55
Upside,0.0,OPEN,-0.236,1100,437.0,82,18.76
Upside,0.0,OPEN,-0.236,1200,437.0,46,10.53
Upside,0.0,OPEN,-0.236,1300,437.0,51,11.67
Upside,0.0,OPEN,-0.236,1400,437.0,65,14.87
Upside,0.0,OPEN,-0.236,1500,437.0,52,11.9
Upside,0.0,OPEN,0.236,0900,437.0,558,127.69
Upside,0.0,OPEN,0.236,1000,437.0,113,25.86
Upside,0.0,OPEN,0.236,1100,437.0,43,9.84
Upside,0.0,OPEN,0.236,1200,437.0,15,3.43
Upside,0.0,OPEN,0.236,1300,437.0,13,2.97
Upside,0.0,OPEN,0.236,1400,437.0,30,6.86
Upside,0.0,OPEN,0.236,1500,437.0,14,3.2
Upside,0.0,OPEN,0.236,1600,437.0,1,0.23
Upside,0.0,OPEN,0.382,0900,437.0,524,119.91
Upside,0.0,OPEN,0.382,1000,437.0,134,30.66
Upside,0.0,OPEN,0.382,1100,437.0,70,16.02
Upside,0.0,OPEN,0.382,1200,437.0,38,8.7
Upside,0.0,OPEN,0.382,1300,437.0,22,5.03
Upside,0.0,OPEN,0.382,1400,437.0,35,8.01
Upside,0.0,OPEN,0.382,1500,437.0,25,5.72
Upside,0.0,OPEN,0.5,0900,437.0,426,97.48
Upside,0.0,OPEN,0.5,1000,437.0,145,33.18
Upside,0.0,OPEN,0.5,1100,437.0,77,17.62
Upside,0.0,OPEN,0.5,1200,437.0,35,8.01
Upside,0.0,OPEN,0.5,1300,437.0,33,7.55
Upside,0.0,OPEN,0.5,1400,437.0,43,9.84
Upside,0.0,OPEN,0.5,1500,437.0,43,9.84
Upside,0.0,OPEN,0.618,0900,437.0,319,73.0
Upside,0.0,OPEN,0.618,1000,437.0,132,30.21
Upside,0.0,OPEN,0.618,1100,437.0,76,17.39
Upside,0.0,OPEN,0.618,1200,437.0,37,8.47
Upside,0.0,OPEN,0.618,1300,437.0,36,8.24
Upside,0.0,OPEN,0.618,1400,437.0,48,10.98
Upside,0.0,OPEN,0.618,1500,437.0,59,13.5
Upside,0.0,OPEN,0.786,0900,437.0,187,42.79
Upside,0.0,OPEN,0.786,1000,437.0,126,28.83
Upside,0.0,OPEN,0.786,1100,437.0,68,15.56
Upside,0.0,OPEN,0.786,1200,437.0,52,11.9
Upside,0.0,OPEN,0.786,1300,437.0,27,6.18
Upside,0.0,OPEN,0.786,1400,437.0,38,8.7
Upside,0.0,OPEN,0.786,1500,437.0,57,13.04
Upside,0.0,OPEN,1.0,0900,437.0,76,17.39
Upside,0.0,OPEN,1.0,1000,437.0,84,19.22
Upside,0.0,OPEN,1.0,1100,437.0,49,11.21
Upside,0.0,OPEN,1.0,1200,437.0,39,8.92
Upside,0.0,OPEN,1.0,1300,437.0,29,6.64
Upside,0.0,OPEN,1.0,1400,437.0,44,10.07
Upside,0.0,OPEN,1.0,1500,437.0,53,12.13
Upside,0.0,OPEN,1.0,1600,437.0,1,0.23
Downside,0.0,OPEN,-1.0,0900,294.0,109,37.07
Downside,0.0,OPEN,-1.0,1000,294.0,79,26.87
Downside,0.0,OPEN,-1.0,1100,294.0,39,13.27
Downside,0.0,OPEN,-1.0,1200,294.0,22,7.48
Downside,0.0,OPEN,-1.0,1300,294.0,23,7.82
Downside,0.0,OPEN,-1.0,1400,294.0,27,9.18
Downside,0.0,OPEN,-1.0,1500,294.0,34,11.56
Downside,0.0,OPEN,-0.786,0900,294.0,165,56.12
Downside,0.0,OPEN,-0.786,1000,294.0,104,35.37
Downside,0.0,OPEN,-0.786,1100,294.0,55,18.71
Downside,0.0,OPEN,-0.786,1200,294.0,29,9.86
Downside,0.0,OPEN,-0.786,1300,294.0,25,8.5
Downside,0.0,OPEN,-0.786,1400,294.0,27,9.18
Downside,0.0,OPEN,-0.786,1500,294.0,35,11.9
Downside,0.0,OPEN,-0.618,0900,294.0,243,82.65
Downside,0.0,OPEN,-0.618,1000,294.0,128,43.54
Downside,0.0,OPEN,-0.618,1100,294.0,51,17.35
Downside,0.0,OPEN,-0.618,1200,294.0,20,6.8
Downside,0.0,OPEN,-0.618,1300,294.0,29,9.86
Downside,0.0,OPEN,-0.618,1400,294.0,27,9.18
Downside,0.0,OPEN,-0.618,1500,294.0,38,12.93
Downside,0.0,OPEN,-0.5,0900,294.0,304,103.4
Downside,0.0,OPEN,-0.5,1000,294.0,137,46.6
Downside,0.0,OPEN,-0.5,1100,294.0,45,15.31
Downside,0.0,OPEN,-0.5,1200,294.0,28,9.52
Downside,0.0,OPEN,-0.5,1300,294.0,30,10.2
Downside,0.0,OPEN,-0.5,1400,294.0,27,9.18
Downside,0.0,OPEN,-0.5,1500,294.0,32,10.88
Downside,0.0,OPEN,-0.382,0900,294.0,389,132.31
Downside,0.0,OPEN,-0.382,1000,294.0,124,42.18
Downside,0.0,OPEN,-0.382,1100,294.0,46,15.65
Downside,0.0,OPEN,-0.382,1200,294.0,28,9.52
Downside,0.0,OPEN,-0.382,1300,294.0,25,8.5
Downside,0.0,OPEN,-0.382,1400,294.0,30,10.2
Downside,0.0,OPEN,-0.382,1500,294.0,31,10.54
Downside,0.0,OPEN,-0.236,0900,294.0,456,155.1
Downside,0.0,OPEN,-0.236,1000,294.0,109,37.07
Downside,0.0,OPEN,-0.236,1100,294.0,34,11.56
Downside,0.0,OPEN,-0.236,1200,294.0,11,3.74
Downside,0.0,OPEN,-0.236,1300,294.0,20,6.8
Downside,0.0,OPEN,-0.236,1400,294.0,12,4.08
Downside,0.0,OPEN,-0.236,1500,294.0,14,4.76
Downside,0.0,OPEN,0.236,0900,294.0,69,23.47
Downside,0.0,OPEN,0.236,1000,294.0,113,38.44
Downside,0.0,OPEN,0.236,1100,294.0,68,23.13
Downside,0.0,OPEN,0.236,1200,294.0,33,11.22
Downside,0.0,OPEN,0.236,1300,294.0,29,9.86
Downside,0.0,OPEN,0.236,1400,294.0,46,15.65
Downside,0.0,OPEN,0.236,1500,294.0,52,17.69
Downside,0.0,OPEN,0.236,1600,294.0,1,0.34
Downside,0.0,OPEN,0.382,0900,294.0,21,7.14
Downside,0.0,OPEN,0.382,1000,294.0,51,17.35
Downside,0.0,OPEN,0.382,1100,294.0,52,17.69
Downside,0.0,OPEN,0.382,1200,294.0,28,9.52
Downside,0.0,OPEN,0.382,1300,294.0,21,7.14
Downside,0.0,OPEN,0.382,1400,294.0,34,11.56
Downside,0.0,OPEN,0.382,1500,294.0,41,13.95
Downside,0.0,OPEN,0.382,1600,294.0,1,0.34
Downside,0.0,OPEN,0.5,0900,294.0,10,3.4
Downside,0.0,OPEN,0.5,1000,294.0,28,9.52
Downside,0.0,OPEN,0.5,1100,294.0,32,10.88
Downside,0.0,OPEN,0.5,1200,294.0,26,8.84
Downside,0.0,OPEN,0.5,1300,294.0,21,7.14
Downside,0.0,OPEN,0.5,1400,294.0,20,6.8
Downside,0.0,OPEN,0.5,1500,294.0,33,11.22
Downside,0.0,OPEN,0.618,0900,294.0,6,2.04
Downside,0.0,OPEN,0.618,1000,294.0,13,4.42
Downside,0.0,OPEN,0.618,1100,294.0,23,7.82
