Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumTriggers,NumHits,PctCompletion
Above,-1.0,0900,0.382,0900,5,1,20.0
Above,-1.0,0900,0.382,1000,5,0,0.0
Above,-1.0,0900,0.382,1100,5,0,0.0
Above,-1.0,0900,0.382,1400,5,0,0.0
Above,-1.0,0900,0.382,1500,5,0,0.0
Above,-1.0,0900,0.382,1300,5,0,0.0
Above,-1.0,0900,0.382,1200,5,0,0.0
Above,-1.0,0900,0.382,1600,5,0,0.0
Above,-1.0,0900,0.5,0900,5,1,20.0
Above,-1.0,0900,0.5,1000,5,0,0.0
Above,-1.0,0900,0.5,1100,5,0,0.0
Above,-1.0,0900,0.5,1400,5,0,0.0
Above,-1.0,0900,0.5,1500,5,0,0.0
Above,-1.0,0900,0.5,1300,5,0,0.0
Above,-1.0,0900,0.5,1200,5,0,0.0
Above,-1.0,0900,0.5,1600,5,0,0.0
Above,-1.0,0900,0.618,0900,5,1,20.0
Above,-1.0,0900,0.618,1000,5,0,0.0
Above,-1.0,0900,0.618,1100,5,0,0.0
Above,-1.0,0900,0.618,1400,5,0,0.0
Above,-1.0,0900,0.618,1500,5,0,0.0
Above,-1.0,0900,0.618,1300,5,0,0.0
Above,-1.0,0900,0.618,1200,5,0,0.0
Above,-1.0,0900,0.618,1600,5,0,0.0
Above,-1.0,0900,0.786,0900,5,1,20.0
Above,-1.0,0900,0.786,1000,5,0,0.0
Above,-1.0,0900,0.786,1100,5,0,0.0
Above,-1.0,0900,0.786,1400,5,0,0.0
Above,-1.0,0900,0.786,1500,5,0,0.0
Above,-1.0,0900,0.786,1300,5,0,0.0
Above,-1.0,0900,0.786,1200,5,0,0.0
Above,-1.0,0900,0.786,1600,5,0,0.0
Above,-1.0,0900,1.0,0900,5,1,20.0
Above,-1.0,0900,1.0,1000,5,0,0.0
Above,-1.0,0900,1.0,1100,5,0,0.0
Above,-1.0,0900,1.0,1400,5,0,0.0
Above,-1.0,0900,1.0,1500,5,0,0.0
Above,-1.0,0900,1.0,1300,5,0,0.0
Above,-1.0,0900,1.0,1200,5,0,0.0
Above,-1.0,0900,1.0,1600,5,0,0.0
Above,-1.0,0900,-0.236,0900,5,1,20.0
Above,-1.0,0900,-0.236,1000,5,0,0.0
Above,-1.0,0900,-0.236,1100,5,0,0.0
Above,-1.0,0900,-0.236,1400,5,0,0.0
Above,-1.0,0900,-0.236,1500,5,0,0.0
Above,-1.0,0900,-0.236,1300,5,0,0.0
Above,-1.0,0900,-0.236,1200,5,0,0.0
Above,-1.0,0900,-0.236,1600,5,0,0.0
Above,-1.0,0900,-0.382,0900,5,1,20.0
Above,-1.0,0900,-0.382,1000,5,0,0.0
Above,-1.0,0900,-0.382,1100,5,1,20.0
Above,-1.0,0900,-0.382,1400,5,0,0.0
Above,-1.0,0900,-0.382,1500,5,1,20.0
Above,-1.0,0900,-0.382,1300,5,0,0.0
Above,-1.0,0900,-0.382,1200,5,0,0.0
Above,-1.0,0900,-0.382,1600,5,0,0.0
Above,-1.0,0900,-0.5,0900,5,1,20.0
Above,-1.0,0900,-0.5,1000,5,0,0.0
Above,-1.0,0900,-0.5,1100,5,1,20.0
Above,-1.0,0900,-0.5,1400,5,1,20.0
Above,-1.0,0900,-0.5,1500,5,0,0.0
Above,-1.0,0900,-0.5,1300,5,0,0.0
Above,-1.0,0900,-0.5,1200,5,0,0.0
Above,-1.0,0900,-0.5,1600,5,0,0.0
Above,-1.0,0900,-0.618,0900,5,1,20.0
Above,-1.0,0900,-0.618,1000,5,0,0.0
Above,-1.0,0900,-0.618,1100,5,2,40.0
Above,-1.0,0900,-0.618,1400,5,0,0.0
Above,-1.0,0900,-0.618,1500,5,0,0.0
Above,-1.0,0900,-0.618,1300,5,0,0.0
Above,-1.0,0900,-0.618,1200,5,1,20.0
Above,-1.0,0900,-0.618,1600,5,0,0.0
Above,-1.0,0900,-0.786,0900,5,1,20.0
Above,-1.0,0900,-0.786,1000,5,0,0.0
Above,-1.0,0900,-0.786,1100,5,2,40.0
Above,-1.0,0900,-0.786,1400,5,0,0.0
Above,-1.0,0900,-0.786,1500,5,0,0.0
Above,-1.0,0900,-0.786,1300,5,0,0.0
Above,-1.0,0900,-0.786,1200,5,1,20.0
Above,-1.0,0900,-0.786,1600,5,0,0.0
Above,-1.0,0900,0.0,0900,5,1,20.0
Above,-1.0,0900,0.0,1000,5,0,0.0
Above,-1.0,0900,0.0,1100,5,0,0.0
Above,-1.0,0900,0.0,1400,5,0,0.0
Above,-1.0,0900,0.0,1500,5,0,0.0
Above,-1.0,0900,0.0,1300,5,0,0.0
Above,-1.0,0900,0.0,1200,5,0,0.0
Above,-1.0,0900,0.0,1600,5,0,0.0
Above,-1.0,0900,0.236,0900,5,1,20.0
Above,-1.0,0900,0.236,1000,5,0,0.0
Above,-1.0,0900,0.236,1100,5,0,0.0
Above,-1.0,0900,0.236,1400,5,0,0.0
Above,-1.0,0900,0.236,1500,5,0,0.0
Above,-1.0,0900,0.236,1300,5,0,0.0
Above,-1.0,0900,0.236,1200,5,0,0.0
Above,-1.0,0900,0.236,1600,5,0,0.0
Below,-1.0,0900,0.382,0900,110,0,0.0
Below,-1.0,0900,0.382,1000,110,0,0.0
Below,-1.0,0900,0.382,1100,110,1,0.91
Below,-1.0,0900,0.382,1400,110,0,0.0
Below,-1.0,0900,0.382,1500,110,3,2.73
Below,-1.0,0900,0.382,1300,110,0,0.0
Below,-1.0,0900,0.382,1200,110,0,0.0
Below,-1.0,0900,0.382,1600,110,0,0.0
Below,-1.0,0900,0.5,0900,110,0,0.0
Below,-1.0,0900,0.5,1000,110,0,0.0
Below,-1.0,0900,0.5,1100,110,1,0.91
Below,-1.0,0900,0.5,1400,110,0,0.0
Below,-1.0,0900,0.5,1500,110,1,0.91
Below,-1.0,0900,0.5,1300,110,0,0.0
Below,-1.0,0900,0.5,1200,110,0,0.0
Below,-1.0,0900,0.5,1600,110,0,0.0
Below,-1.0,0900,0.618,0900,110,0,0.0
Below,-1.0,0900,0.618,1000,110,0,0.0
Below,-1.0,0900,0.618,1100,110,1,0.91
Below,-1.0,0900,0.618,1400,110,0,0.0
Below,-1.0,0900,0.618,1500,110,1,0.91
Below,-1.0,0900,0.618,1300,110,0,0.0
Below,-1.0,0900,0.618,1200,110,0,0.0
Below,-1.0,0900,0.618,1600,110,0,0.0
Below,-1.0,0900,0.786,0900,110,0,0.0
Below,-1.0,0900,0.786,1000,110,0,0.0
Below,-1.0,0900,0.786,1100,110,1,0.91
Below,-1.0,0900,0.786,1400,110,0,0.0
Below,-1.0,0900,0.786,1500,110,1,0.91
Below,-1.0,0900,0.786,1300,110,0,0.0
Below,-1.0,0900,0.786,1200,110,0,0.0
Below,-1.0,0900,0.786,1600,110,0,0.0
Below,-1.0,0900,1.0,0900,110,0,0.0
Below,-1.0,0900,1.0,1000,110,0,0.0
Below,-1.0,0900,1.0,1100,110,1,0.91
Below,-1.0,0900,1.0,1400,110,0,0.0
Below,-1.0,0900,1.0,1500,110,0,0.0
Below,-1.0,0900,1.0,1300,110,0,0.0
Below,-1.0,0900,1.0,1200,110,0,0.0
Below,-1.0,0900,1.0,1600,110,0,0.0
Below,-1.0,0900,-0.236,0900,110,0,0.0
Below,-1.0,0900,-0.236,1000,110,1,0.91
Below,-1.0,0900,-0.236,1100,110,6,5.45
Below,-1.0,0900,-0.236,1400,110,4,3.64
Below,-1.0,0900,-0.236,1500,110,6,5.45
Below,-1.0,0900,-0.236,1300,110,7,6.36
Below,-1.0,0900,-0.236,1200,110,3,2.73
Below,-1.0,0900,-0.236,1600,110,0,0.0
Below,-1.0,0900,-0.382,0900,110,1,0.91
Below,-1.0,0900,-0.382,1000,110,6,5.45
Below,-1.0,0900,-0.382,1100,110,3,2.73
Below,-1.0,0900,-0.382,1400,110,4,3.64
Below,-1.0,0900,-0.382,1500,110,6,5.45
Below,-1.0,0900,-0.382,1300,110,10,9.09
Below,-1.0,0900,-0.382,1200,110,4,3.64
Below,-1.0,0900,-0.382,1600,110,0,0.0
Below,-1.0,0900,-0.5,0900,110,2,1.82
Below,-1.0,0900,-0.5,1000,110,11,10.0
Below,-1.0,0900,-0.5,1100,110,6,5.45
Below,-1.0,0900,-0.5,1400,110,4,3.64
Below,-1.0,0900,-0.5,1500,110,5,4.55
Below,-1.0,0900,-0.5,1300,110,7,6.36
Below,-1.0,0900,-0.5,1200,110,6,5.45
Below,-1.0,0900,-0.5,1600,110,0,0.0
Below,-1.0,0900,-0.618,0900,110,4,3.64
Below,-1.0,0900,-0.618,1000,110,17,15.45
Below,-1.0,0900,-0.618,1100,110,10,9.09
Below,-1.0,0900,-0.618,1400,110,6,5.45
Below,-1.0,0900,-0.618,1500,110,2,1.82
Below,-1.0,0900,-0.618,1300,110,6,5.45
Below,-1.0,0900,-0.618,1200,110,7,6.36
Below,-1.0,0900,-0.618,1600,110,0,0.0
Below,-1.0,0900,-0.786,0900,110,32,29.09
Below,-1.0,0900,-0.786,1000,110,19,17.27
Below,-1.0,0900,-0.786,1100,110,7,6.36
Below,-1.0,0900,-0.786,1400,110,0,0.0
Below,-1.0,0900,-0.786,1500,110,3,2.73
Below,-1.0,0900,-0.786,1300,110,3,2.73
Below,-1.0,0900,-0.786,1200,110,6,5.45
Below,-1.0,0900,-0.786,1600,110,0,0.0
Below,-1.0,0900,0.0,0900,110,0,0.0
Below,-1.0,0900,0.0,1000,110,1,0.91
Below,-1.0,0900,0.0,1100,110,1,0.91
Below,-1.0,0900,0.0,1400,110,4,3.64
Below,-1.0,0900,0.0,1500,110,6,5.45
Below,-1.0,0900,0.0,1300,110,0,0.0
Below,-1.0,0900,0.0,1200,110,0,0.0
Below,-1.0,0900,0.0,1600,110,0,0.0
Below,-1.0,0900,0.236,0900,110,0,0.0
Below,-1.0,0900,0.236,1000,110,0,0.0
Below,-1.0,0900,0.236,1100,110,1,0.91
Below,-1.0,0900,0.236,1400,110,0,0.0
Below,-1.0,0900,0.236,1500,110,6,5.45
Below,-1.0,0900,0.236,1300,110,0,0.0
Below,-1.0,0900,0.236,1200,110,0,0.0
Below,-1.0,0900,0.236,1600,110,0,0.0
Above,-1.0,1000,0.382,0900,1,0,0.0
Above,-1.0,1000,0.382,1000,1,0,0.0
Above,-1.0,1000,0.382,1100,1,0,0.0
Above,-1.0,1000,0.382,1400,1,0,0.0
Above,-1.0,1000,0.382,1500,1,0,0.0
Above,-1.0,1000,0.382,1300,1,0,0.0
Above,-1.0,1000,0.382,1200,1,0,0.0
Above,-1.0,1000,0.382,1600,1,0,0.0
Above,-1.0,1000,0.5,0900,1,0,0.0
