Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Above,-1.0,0900,0.236,32,0,0.0
Above,-1.0,0900,0.382,32,0,0.0
Above,-1.0,0900,0.5,32,0,0.0
Above,-1.0,0900,0.618,32,0,0.0
Above,-1.0,0900,0.786,32,0,0.0
Above,-1.0,0900,1.0,32,0,0.0
Above,-1.0,0900,-0.236,32,2,6.25
Above,-1.0,0900,-0.382,32,3,9.38
Above,-1.0,0900,-0.5,32,4,12.5
Above,-1.0,0900,-0.618,32,9,28.12
Above,-1.0,0900,-0.786,30,15,50.0
Above,-1.0,0900,-1.0,19,19,100.0
Above,-1.0,0900,0.0,32,0,0.0
Below,-1.0,0900,0.236,51,2,3.92
Below,-1.0,0900,0.382,51,2,3.92
Below,-1.0,0900,0.5,51,2,3.92
Below,-1.0,0900,0.618,52,1,1.92
Below,-1.0,0900,0.786,52,1,1.92
Below,-1.0,0900,1.0,52,0,0.0
Below,-1.0,0900,-0.236,45,8,17.78
Below,-1.0,0900,-0.382,38,8,21.05
Below,-1.0,0900,-0.5,29,5,17.24
Below,-1.0,0900,-0.618,24,3,12.5
Below,-1.0,0900,-0.786,22,5,22.73
Below,-1.0,0900,-1.0,23,23,100.0
Below,-1.0,0900,0.0,47,2,4.26
Above,-1.0,1000,0.236,8,0,0.0
Above,-1.0,1000,0.382,8,0,0.0
Above,-1.0,1000,0.5,8,0,0.0
Above,-1.0,1000,0.618,8,0,0.0
Above,-1.0,1000,0.786,8,0,0.0
Above,-1.0,1000,1.0,8,0,0.0
Above,-1.0,1000,-0.236,8,0,0.0
Above,-1.0,1000,-0.382,8,0,0.0
Above,-1.0,1000,-0.5,8,0,0.0
Above,-1.0,1000,-0.618,8,1,12.5
Above,-1.0,1000,-0.786,8,5,62.5
Above,-1.0,1000,-1.0,4,4,100.0
Above,-1.0,1000,0.0,8,0,0.0
Below,-1.0,1000,0.236,25,0,0.0
Below,-1.0,1000,0.382,25,0,0.0
Below,-1.0,1000,0.5,25,0,0.0
Below,-1.0,1000,0.618,25,0,0.0
Below,-1.0,1000,0.786,25,0,0.0
Below,-1.0,1000,1.0,25,0,0.0
Below,-1.0,1000,-0.236,19,1,5.26
Below,-1.0,1000,-0.382,18,5,27.78
Below,-1.0,1000,-0.5,11,5,45.45
Below,-1.0,1000,-0.618,6,2,33.33
Below,-1.0,1000,-0.786,4,0,0.0
Below,-1.0,1000,-1.0,4,4,100.0
Below,-1.0,1000,0.0,23,0,0.0
Above,-1.0,1100,0.236,6,0,0.0
Above,-1.0,1100,0.382,6,0,0.0
Above,-1.0,1100,0.5,6,0,0.0
Above,-1.0,1100,0.618,6,0,0.0
