Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Above,-1.0,0900,0.236,32,9,28.12
Above,-1.0,0900,0.382,32,3,9.38
Above,-1.0,0900,0.5,32,2,6.25
Above,-1.0,0900,0.618,32,2,6.25
Above,-1.0,0900,0.786,32,1,3.12
Above,-1.0,0900,1.0,32,0,0.0
Above,-1.0,0900,-0.236,29,28,96.55
Above,-1.0,0900,-0.382,23,23,100.0
Above,-1.0,0900,-0.5,21,21,100.0
Above,-1.0,0900,-0.618,16,16,100.0
Above,-1.0,0900,-0.786,15,14,93.33
Above,-1.0,0900,-1.0,32,30,93.75
Above,-1.0,0900,0.0,31,26,83.87
Below,-1.0,0900,0.236,53,13,24.53
Below,-1.0,0900,0.382,53,6,11.32
Below,-1.0,0900,0.5,53,2,3.77
Below,-1.0,0900,0.618,53,1,1.89
Below,-1.0,0900,0.786,53,1,1.89
Below,-1.0,0900,1.0,53,1,1.89
Below,-1.0,0900,-0.236,51,51,100.0
Below,-1.0,0900,-0.382,49,49,100.0
Below,-1.0,0900,-0.5,46,46,100.0
Below,-1.0,0900,-0.618,40,40,100.0
Below,-1.0,0900,-0.786,38,38,100.0
Below,-1.0,0900,-1.0,49,48,97.96
Below,-1.0,0900,0.0,53,45,84.91
Above,-1.0,1000,0.236,8,0,0.0
Above,-1.0,1000,0.382,8,0,0.0
Above,-1.0,1000,0.5,8,0,0.0
Above,-1.0,1000,0.618,8,0,0.0
Above,-1.0,1000,0.786,8,0,0.0
Above,-1.0,1000,1.0,8,0,0.0
Above,-1.0,1000,-0.236,8,8,100.0
Above,-1.0,1000,-0.382,8,8,100.0
Above,-1.0,1000,-0.5,6,6,100.0
Above,-1.0,1000,-0.618,5,5,100.0
Above,-1.0,1000,-0.786,4,4,100.0
Above,-1.0,1000,-1.0,8,8,100.0
Above,-1.0,1000,0.0,8,4,50.0
Below,-1.0,1000,0.236,25,2,8.0
Below,-1.0,1000,0.382,25,0,0.0
Below,-1.0,1000,0.5,25,0,0.0
Below,-1.0,1000,0.618,25,0,0.0
Below,-1.0,1000,0.786,25,0,0.0
Below,-1.0,1000,1.0,25,0,0.0
Below,-1.0,1000,-0.236,25,24,96.0
Below,-1.0,1000,-0.382,25,25,100.0
Below,-1.0,1000,-0.5,24,24,100.0
Below,-1.0,1000,-0.618,21,21,100.0
Below,-1.0,1000,-0.786,21,21,100.0
Below,-1.0,1000,-1.0,25,25,100.0
Below,-1.0,1000,0.0,25,19,76.0
Above,-1.0,1100,0.236,6,0,0.0
Above,-1.0,1100,0.382,6,0,0.0
Above,-1.0,1100,0.5,6,0,0.0
Above,-1.0,1100,0.618,6,0,0.0
Above,-1.0,1100,0.786,6,0,0.0
Above,-1.0,1100,1.0,6,0,0.0
Above,-1.0,1100,-0.236,6,6,100.0
Above,-1.0,1100,-0.382,6,6,100.0
