Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumHits,NumTriggers,PctCompletion
Downside,-1.0,0900,-0.786,0900,119,142,83.8
Downside,-1.0,0900,-0.786,1000,19,142,13.38
Downside,-1.0,0900,-0.786,1400,1,142,0.7
Downside,-1.0,0900,-0.786,1500,1,142,0.7
Downside,-1.0,0900,-0.618,0900,123,142,86.62
Downside,-1.0,0900,-0.618,1000,19,142,13.38
Downside,-1.0,0900,-0.5,0900,123,142,86.62
Downside,-1.0,0900,-0.5,1000,19,142,13.38
Downside,-1.0,0900,-0.382,0900,123,142,86.62
Downside,-1.0,0900,-0.382,1000,19,142,13.38
Downside,-1.0,0900,-0.236,0900,124,142,87.32
Downside,-1.0,0900,-0.236,1000,18,142,12.68
Downside,-1.0,0900,0.0,0900,124,142,87.32
Downside,-1.0,0900,0.0,1000,18,142,12.68
Downside,-1.0,0900,0.236,0900,124,142,87.32
Downside,-1.0,0900,0.236,1000,18,142,12.68
Downside,-1.0,0900,0.382,0900,124,142,87.32
Downside,-1.0,0900,0.382,1000,18,142,12.68
Downside,-1.0,0900,0.5,0900,124,142,87.32
Downside,-1.0,0900,0.5,1000,18,142,12.68
Downside,-1.0,0900,0.618,0900,124,142,87.32
Downside,-1.0,0900,0.618,1000,18,142,12.68
Downside,-1.0,0900,0.786,0900,124,142,87.32
Downside,-1.0,0900,0.786,1000,18,142,12.68
Downside,-1.0,0900,1.0,0900,124,142,87.32
Downside,-1.0,0900,1.0,1000,18,142,12.68
Downside,-1.0,1000,-0.786,1000,72,87,82.76
Downside,-1.0,1000,-0.786,1100,15,87,17.24
Downside,-1.0,1000,-0.618,1000,72,87,82.76
Downside,-1.0,1000,-0.618,1100,15,87,17.24
Downside,-1.0,1000,-0.5,1000,72,87,82.76
Downside,-1.0,1000,-0.5,1100,15,87,17.24
Downside,-1.0,1000,-0.382,1000,72,87,82.76
Downside,-1.0,1000,-0.382,1100,15,87,17.24
Downside,-1.0,1000,-0.236,1000,72,87,82.76
Downside,-1.0,1000,-0.236,1100,15,87,17.24
Downside,-1.0,1000,0.0,1000,72,87,82.76
Downside,-1.0,1000,0.0,1100,15,87,17.24
Downside,-1.0,1000,0.236,1000,72,87,82.76
Downside,-1.0,1000,0.236,1100,15,87,17.24
Downside,-1.0,1000,0.382,1000,72,87,82.76
Downside,-1.0,1000,0.382,1100,15,87,17.24
Downside,-1.0,1000,0.5,1000,72,87,82.76
Downside,-1.0,1000,0.5,1100,15,87,17.24
Downside,-1.0,1000,0.618,1000,72,87,82.76
Downside,-1.0,1000,0.618,1100,15,87,17.24
Downside,-1.0,1000,0.786,1000,72,87,82.76
Downside,-1.0,1000,0.786,1100,15,87,17.24
Downside,-1.0,1000,1.0,1000,72,87,82.76
Downside,-1.0,1000,1.0,1100,15,87,17.24
Downside,-1.0,1100,-0.786,1100,51,55,92.73
Downside,-1.0,1100,-0.786,1200,4,55,7.27
Downside,-1.0,1100,-0.618,1100,51,55,92.73
Downside,-1.0,1100,-0.618,1200,4,55,7.27
Downside,-1.0,1100,-0.5,1100,51,55,92.73
Downside,-1.0,1100,-0.5,1200,4,55,7.27
Downside,-1.0,1100,-0.382,1100,51,55,92.73
Downside,-1.0,1100,-0.382,1200,4,55,7.27
Downside,-1.0,1100,-0.236,1100,51,55,92.73
Downside,-1.0,1100,-0.236,1200,4,55,7.27
Downside,-1.0,1100,0.0,1100,51,55,92.73
Downside,-1.0,1100,0.0,1200,4,55,7.27
Downside,-1.0,1100,0.236,1100,51,55,92.73
Downside,-1.0,1100,0.236,1200,4,55,7.27
Downside,-1.0,1100,0.382,1100,51,55,92.73
Downside,-1.0,1100,0.382,1200,4,55,7.27
Downside,-1.0,1100,0.5,1100,51,55,92.73
Downside,-1.0,1100,0.5,1200,4,55,7.27
Downside,-1.0,1100,0.618,1100,51,55,92.73
Downside,-1.0,1100,0.618,1200,4,55,7.27
Downside,-1.0,1100,0.786,1100,51,55,92.73
Downside,-1.0,1100,0.786,1200,4,55,7.27
Downside,-1.0,1100,1.0,1100,51,55,92.73
Downside,-1.0,1100,1.0,1200,4,55,7.27
Downside,-1.0,1200,-0.786,1200,29,34,85.29
Downside,-1.0,1200,-0.786,1300,5,34,14.71
Downside,-1.0,1200,-0.618,1200,29,34,85.29
Downside,-1.0,1200,-0.618,1300,5,34,14.71
Downside,-1.0,1200,-0.5,1200,29,34,85.29
Downside,-1.0,1200,-0.5,1300,5,34,14.71
Downside,-1.0,1200,-0.382,1200,29,34,85.29
Downside,-1.0,1200,-0.382,1300,5,34,14.71
Downside,-1.0,1200,-0.236,1200,29,34,85.29
Downside,-1.0,1200,-0.236,1300,5,34,14.71
Downside,-1.0,1200,0.0,1200,29,34,85.29
Downside,-1.0,1200,0.0,1300,5,34,14.71
Downside,-1.0,1200,0.236,1200,29,34,85.29
Downside,-1.0,1200,0.236,1300,5,34,14.71
Downside,-1.0,1200,0.382,1200,29,34,85.29
Downside,-1.0,1200,0.382,1300,5,34,14.71
Downside,-1.0,1200,0.5,1200,29,34,85.29
Downside,-1.0,1200,0.5,1300,5,34,14.71
Downside,-1.0,1200,0.618,1200,29,34,85.29
Downside,-1.0,1200,0.618,1300,5,34,14.71
Downside,-1.0,1200,0.786,1200,29,34,85.29
Downside,-1.0,1200,0.786,1300,5,34,14.71
Downside,-1.0,1200,1.0,1200,29,34,85.29
Downside,-1.0,1200,1.0,1300,5,34,14.71
Downside,-1.0,1300,-0.786,1300,30,35,85.71
Downside,-1.0,1300,-0.786,1400,5,35,14.29
Downside,-1.0,1300,-0.618,1300,30,35,85.71
Downside,-1.0,1300,-0.618,1400,5,35,14.29
Downside,-1.0,1300,-0.5,1300,30,35,85.71
Downside,-1.0,1300,-0.5,1400,5,35,14.29
Downside,-1.0,1300,-0.382,1300,30,35,85.71
Downside,-1.0,1300,-0.382,1400,5,35,14.29
Downside,-1.0,1300,-0.236,1300,30,35,85.71
Downside,-1.0,1300,-0.236,1400,5,35,14.29
Downside,-1.0,1300,0.0,1300,30,35,85.71
Downside,-1.0,1300,0.0,1400,5,35,14.29
Downside,-1.0,1300,0.236,1300,30,35,85.71
Downside,-1.0,1300,0.236,1400,5,35,14.29
Downside,-1.0,1300,0.382,1300,30,35,85.71
Downside,-1.0,1300,0.382,1400,5,35,14.29
Downside,-1.0,1300,0.5,1300,30,35,85.71
Downside,-1.0,1300,0.5,1400,5,35,14.29
Downside,-1.0,1300,0.618,1300,30,35,85.71
Downside,-1.0,1300,0.618,1400,5,35,14.29
Downside,-1.0,1300,0.786,1300,30,35,85.71
Downside,-1.0,1300,0.786,1400,5,35,14.29
Downside,-1.0,1300,1.0,1300,30,35,85.71
Downside,-1.0,1300,1.0,1400,5,35,14.29
Downside,-1.0,1400,-0.786,1400,34,43,79.07
Downside,-1.0,1400,-0.786,1500,9,43,20.93
Downside,-1.0,1400,-0.618,1400,34,43,79.07
Downside,-1.0,1400,-0.618,1500,9,43,20.93
Downside,-1.0,1400,-0.5,1400,34,43,79.07
Downside,-1.0,1400,-0.5,1500,9,43,20.93
Downside,-1.0,1400,-0.382,1400,34,43,79.07
Downside,-1.0,1400,-0.382,1500,9,43,20.93
Downside,-1.0,1400,-0.236,1400,34,43,79.07
Downside,-1.0,1400,-0.236,1500,9,43,20.93
Downside,-1.0,1400,0.0,1400,34,43,79.07
Downside,-1.0,1400,0.0,1500,9,43,20.93
Downside,-1.0,1400,0.236,1400,34,43,79.07
Downside,-1.0,1400,0.236,1500,9,43,20.93
Downside,-1.0,1400,0.382,1400,34,43,79.07
Downside,-1.0,1400,0.382,1500,9,43,20.93
Downside,-1.0,1400,0.5,1400,34,43,79.07
Downside,-1.0,1400,0.5,1500,9,43,20.93
Downside,-1.0,1400,0.618,1400,34,43,79.07
Downside,-1.0,1400,0.618,1500,9,43,20.93
Downside,-1.0,1400,0.786,1400,34,43,79.07
Downside,-1.0,1400,0.786,1500,9,43,20.93
Downside,-1.0,1400,1.0,1400,34,43,79.07
Downside,-1.0,1400,1.0,1500,9,43,20.93
Downside,-1.0,1500,-0.786,1500,42,59,71.19
Downside,-1.0,1500,-0.786,1600,15,59,25.42
Downside,-1.0,1500,-0.618,1500,43,59,72.88
Downside,-1.0,1500,-0.618,1600,16,59,27.12
Downside,-1.0,1500,-0.5,1500,43,59,72.88
Downside,-1.0,1500,-0.5,1600,16,59,27.12
Downside,-1.0,1500,-0.382,1500,43,59,72.88
Downside,-1.0,1500,-0.382,1600,16,59,27.12
Downside,-1.0,1500,-0.236,1500,43,59,72.88
Downside,-1.0,1500,-0.236,1600,16,59,27.12
Downside,-1.0,1500,0.0,1500,43,59,72.88
Downside,-1.0,1500,0.0,1600,16,59,27.12
Downside,-1.0,1500,0.236,1500,43,59,72.88
Downside,-1.0,1500,0.236,1600,16,59,27.12
Downside,-1.0,1500,0.382,1500,43,59,72.88
Downside,-1.0,1500,0.382,1600,16,59,27.12
Downside,-1.0,1500,0.5,1500,43,59,72.88
Downside,-1.0,1500,0.5,1600,16,59,27.12
Downside,-1.0,1500,0.618,1500,43,59,72.88
Downside,-1.0,1500,0.618,1600,16,59,27.12
Downside,-1.0,1500,0.786,1500,43,59,72.88
Downside,-1.0,1500,0.786,1600,16,59,27.12
Downside,-1.0,1500,1.0,1500,43,59,72.88
Downside,-1.0,1500,1.0,1600,16,59,27.12
Downside,-1.0,1600,-0.786,1600,1,1,100.0
Downside,-1.0,1600,-0.618,1600,1,1,100.0
Downside,-1.0,1600,-0.5,1600,1,1,100.0
Downside,-1.0,1600,-0.382,1600,1,1,100.0
Downside,-1.0,1600,-0.236,1600,1,1,100.0
Downside,-1.0,1600,0.0,1600,1,1,100.0
Downside,-1.0,1600,0.236,1600,1,1,100.0
Downside,-1.0,1600,0.382,1600,1,1,100.0
Downside,-1.0,1600,0.5,1600,1,1,100.0
Downside,-1.0,1600,0.618,1600,1,1,100.0
Downside,-1.0,1600,0.786,1600,1,1,100.0
Downside,-1.0,1600,1.0,1600,1,1,100.0
Downside,-0.786,0900,-1.0,0900,40,208,19.23
Downside,-0.786,0900,-1.0,1000,43,208,20.67
Downside,-0.786,0900,-1.0,1100,5,208,2.4
Downside,-0.786,0900,-1.0,1200,2,208,0.96
Downside,-0.786,0900,-1.0,1300,2,208,0.96
Downside,-0.786,0900,-1.0,1400,3,208,1.44
Downside,-0.786,0900,-1.0,1500,2,208,0.96
Downside,-0.786,0900,-1.0,OPEN,76,208,36.54
Downside,-0.786,0900,-0.618,0900,178,208,85.58
Downside,-0.786,0900,-0.618,1000,30,208,14.42
Downside,-0.786,0900,-0.5,0900,180,208,86.54
Downside,-0.786,0900,-0.5,1000,28,208,13.46
Downside,-0.786,0900,-0.382,0900,180,208,86.54
Downside,-0.786,0900,-0.382,1000,28,208,13.46
Downside,-0.786,0900,-0.236,0900,181,208,87.02
Downside,-0.786,0900,-0.236,1000,27,208,12.98
Downside,-0.786,0900,0.0,0900,181,208,87.02
