Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumTriggers,NumHits,PctCompletion
Above,-1.0,0900,0.236,0000,5,0,0.0
Above,-1.0,0900,0.236,0100,5,0,0.0
Above,-1.0,0900,0.236,0200,5,0,0.0
Above,-1.0,0900,0.236,0300,5,0,0.0
Above,-1.0,0900,0.236,0400,5,0,0.0
Above,-1.0,0900,0.236,0500,5,0,0.0
Above,-1.0,0900,0.236,0600,5,0,0.0
Above,-1.0,0900,0.236,0700,5,0,0.0
Above,-1.0,0900,0.236,0800,5,0,0.0
Above,-1.0,0900,0.236,0900,5,1,20.0
Above,-1.0,0900,0.236,1000,5,0,0.0
Above,-1.0,0900,0.236,1100,5,0,0.0
Above,-1.0,0900,0.236,1200,5,0,0.0
Above,-1.0,0900,0.236,1300,5,0,0.0
Above,-1.0,0900,0.236,1400,5,0,0.0
Above,-1.0,0900,0.236,1500,5,0,0.0
Above,-1.0,0900,0.236,1600,5,0,0.0
Above,-1.0,0900,0.236,1700,5,0,0.0
Above,-1.0,0900,0.236,1800,5,0,0.0
Above,-1.0,0900,0.236,1900,5,0,0.0
Above,-1.0,0900,0.236,2000,5,0,0.0
Above,-1.0,0900,0.236,2100,5,0,0.0
Above,-1.0,0900,0.236,2200,5,0,0.0
Above,-1.0,0900,0.236,2300,5,0,0.0
Above,-1.0,0900,0.236,Next Day 0000,5,0,0.0
Above,-1.0,0900,0.236,Next Day 0100,5,0,0.0
Above,-1.0,0900,0.236,Next Day 0200,5,0,0.0
Above,-1.0,0900,0.236,Next Day 0300,5,0,0.0
Above,-1.0,0900,0.236,Next Day 0400,5,0,0.0
Above,-1.0,0900,0.236,Next Day 0500,5,0,0.0
Above,-1.0,0900,0.236,Next Day 0600,5,0,0.0
Above,-1.0,0900,0.236,Next Day 0700,5,0,0.0
Above,-1.0,0900,0.236,Next Day 0800,5,0,0.0
Above,-1.0,0900,0.236,Next Day 0900,5,0,0.0
Above,-1.0,0900,0.236,Next Day 1000,5,0,0.0
Above,-1.0,0900,0.236,Next Day 1100,5,0,0.0
Above,-1.0,0900,0.236,Next Day 1200,5,0,0.0
Above,-1.0,0900,0.236,Next Day 1300,5,0,0.0
Above,-1.0,0900,0.236,Next Day 1400,5,0,0.0
Above,-1.0,0900,0.236,Next Day 1500,5,0,0.0
Above,-1.0,0900,0.236,Next Day 1600,5,0,0.0
Above,-1.0,0900,0.236,Next Day 1700,5,0,0.0
Above,-1.0,0900,0.236,Next Day 1800,5,0,0.0
Above,-1.0,0900,0.236,Next Day 1900,5,0,0.0
Above,-1.0,0900,0.236,Next Day 2000,5,0,0.0
Above,-1.0,0900,0.236,Next Day 2100,5,0,0.0
Above,-1.0,0900,0.236,Next Day 2200,5,0,0.0
Above,-1.0,0900,0.236,Next Day 2300,5,0,0.0
Above,-1.0,0900,0.382,0000,5,0,0.0
Above,-1.0,0900,0.382,0100,5,0,0.0
