trigger_level,trigger_hour,goal_level,goal_hour,percent_complete,raw_count,direction
-1.0,OPEN,-0.786,1100,57,141,Above
-1.0,OPEN,-0.786,1500,19,915,Below
-1.0,OPEN,-0.618,1200,98,163,Above
-1.0,OPEN,-0.618,1500,84,831,Below
-1.0,OPEN,-0.5,1300,20,211,Above
-1.0,OPEN,-0.5,1600,45,781,Below
-1.0,OPEN,-0.382,OPEN,44,29,Above
-1.0,OPEN,-0.382,1000,70,525,Below
-1.0,OPEN,-0.236,1400,87,750,Above
-1.0,OPEN,-0.236,1500,3,897,Below
-1.0,OPEN,0.0,0900,33,679,Above
-1.0,OPEN,0.0,1000,18,168,Below
-1.0,OPEN,0.236,1000,48,328,Above
-1.0,OPEN,0.236,1300,21,673,Below
-1.0,OPEN,0.382,1000,30,877,Above
-1.0,OPEN,0.382,1100,47,694,Below
-1.0,OPEN,0.5,OPEN,93,192,Above
-1.0,OPEN,0.5,0900,54,490,Below
-1.0,OPEN,0.618,OPEN,62,637,Above
-1.0,OPEN,0.618,1600,91,772,Below
-1.0,OPEN,0.786,OPEN,44,170,Above
-1.0,OPEN,0.786,1100,69,269,Below
-1.0,OPEN,1.0,1300,46,996,Above
-1.0,OPEN,1.0,1400,46,87,Below
-1.0,0900,-0.786,1200,8,611,Above
-1.0,0900,-0.786,0900,60,147,Below
-1.0,0900,-0.618,OPEN,2,982,Above
-1.0,0900,-0.618,1300,93,263,Below
-1.0,0900,-0.5,1000,69,858,Above
-1.0,0900,-0.5,1000,18,435,Below
-1.0,0900,-0.382,1000,45,931,Above
-1.0,0900,-0.382,1200,68,358,Below
-1.0,0900,-0.236,1200,83,58,Above
-1.0,0900,-0.236,1200,73,713,Below
-1.0,0900,0.0,1100,99,591,Above
-1.0,0900,0.0,OPEN,38,940,Below
-1.0,0900,0.236,1100,23,322,Above
-1.0,0900,0.236,1300,69,818,Below
-1.0,0900,0.382,1600,45,837,Above
-1.0,0900,0.382,1500,30,605,Below
-1.0,0900,0.5,1200,88,557,Above
-1.0,0900,0.5,1300,29,417,Below
-1.0,0900,0.618,1000,91,912,Above
-1.0,0900,0.618,1500,54,229,Below
-1.0,0900,0.786,1300,9,857,Above
-1.0,0900,0.786,1600,94,627,Below
-1.0,0900,1.0,1600,76,591,Above
-1.0,0900,1.0,1500,44,237,Below
-1.0,1000,-0.786,1600,83,859,Above
-1.0,1000,-0.786,0900,20,205,Below
-1.0,1000,-0.618,1400,32,996,Above
-1.0,1000,-0.618,0900,69,648,Below
-1.0,1000,-0.5,1100,31,769,Above
-1.0,1000,-0.5,1400,87,664,Below
-1.0,1000,-0.382,1500,20,435,Above
-1.0,1000,-0.382,1200,13,322,Below
-1.0,1000,-0.236,0900,57,30,Above
