trigger_level,trigger_hour,atr_level,goal_hour,percent_complete,raw_count,direction
-1.0,OPEN,-1.0,OPEN,9.2,152,Above
-1.0,OPEN,-1.0,OPEN,79.6,167,Below
-1.0,OPEN,-0.786,OPEN,58.4,105,Above
-1.0,OPEN,-0.786,OPEN,55.0,298,Below
-1.0,OPEN,-0.618,OPEN,52.3,205,Above
-1.0,OPEN,-0.618,OPEN,87.2,194,Below
-1.0,OPEN,-0.5,OPEN,15.8,172,Above
-1.0,OPEN,-0.5,OPEN,46.9,37,Below
-1.0,OPEN,-0.382,OPEN,12.0,20,Above
-1.0,OPEN,-0.382,OPEN,30.1,29,Below
-1.0,OPEN,-0.236,OPEN,86.7,148,Above
-1.0,OPEN,-0.236,OPEN,44.3,79,Below
-1.0,OPEN,0.0,OPEN,19.7,81,Above
-1.0,OPEN,0.0,OPEN,41.6,255,Below
-1.0,OPEN,0.236,OPEN,38.3,167,Above
-1.0,OPEN,0.236,OPEN,70.9,18,Below
-1.0,OPEN,0.382,OPEN,7.5,195,Above
-1.0,OPEN,0.382,OPEN,78.2,59,Below
-1.0,OPEN,0.5,OPEN,93.2,194,Above
-1.0,OPEN,0.5,OPEN,82.1,286,Below
-1.0,OPEN,0.618,OPEN,84.1,158,Above
-1.0,OPEN,0.618,OPEN,48.7,267,Below
-1.0,OPEN,0.786,OPEN,7.4,102,Above
-1.0,OPEN,0.786,OPEN,98.4,24,Below
-1.0,OPEN,1.0,OPEN,13.8,231,Above
-1.0,OPEN,1.0,OPEN,70.4,289,Below
-1.0,0900,-1.0,0900,99.8,148,Above
-1.0,0900,-1.0,0900,2.8,166,Below
-1.0,0900,-0.786,0900,72.9,177,Above
-1.0,0900,-0.786,0900,85.5,78,Below
-1.0,0900,-0.618,0900,37.3,119,Above
-1.0,0900,-0.618,0900,46.1,275,Below
-1.0,0900,-0.5,0900,48.9,92,Above
-1.0,0900,-0.5,0900,18.9,17,Below
-1.0,0900,-0.382,0900,61.4,286,Above
-1.0,0900,-0.382,0900,21.9,63,Below
-1.0,0900,-0.236,0900,89.9,186,Above
-1.0,0900,-0.236,0900,85.8,176,Below
-1.0,0900,0.0,0900,22.7,172,Above
-1.0,0900,0.0,0900,0.6,128,Below
-1.0,0900,0.236,0900,11.9,183,Above
-1.0,0900,0.236,0900,34.6,255,Below
-1.0,0900,0.382,0900,46.9,16,Above
-1.0,0900,0.382,0900,19.4,20,Below
-1.0,0900,0.5,0900,84.5,198,Above
-1.0,0900,0.5,0900,45.7,211,Below
-1.0,0900,0.618,0900,74.8,30,Above
-1.0,0900,0.618,0900,89.6,114,Below
-1.0,0900,0.786,0900,59.2,61,Above
-1.0,0900,0.786,0900,60.3,210,Below
-1.0,0900,1.0,0900,3.8,132,Above
-1.0,0900,1.0,0900,70.0,203,Below
-1.0,1000,-1.0,1000,65.7,29,Above
-1.0,1000,-1.0,1000,11.2,177,Below
-1.0,1000,-0.786,1000,44.0,28,Above
-1.0,1000,-0.786,1000,54.2,241,Below
-1.0,1000,-0.618,1000,92.9,50,Above
-1.0,1000,-0.618,1000,80.9,143,Below
-1.0,1000,-0.5,1000,41.6,7,Above
-1.0,1000,-0.5,1000,41.4,7,Below
-1.0,1000,-0.382,1000,42.3,100,Above
-1.0,1000,-0.382,1000,0.9,124,Below
-1.0,1000,-0.236,1000,45.3,101,Above
-1.0,1000,-0.236,1000,59.9,210,Below
-1.0,1000,0.0,1000,93.3,297,Above
-1.0,1000,0.0,1000,79.8,134,Below
-1.0,1000,0.236,1000,87.9,276,Above
-1.0,1000,0.236,1000,30.8,105,Below
-1.0,1000,0.382,1000,43.9,76,Above
-1.0,1000,0.382,1000,74.0,58,Below
-1.0,1000,0.5,1000,25.8,129,Above
-1.0,1000,0.5,1000,31.7,169,Below
-1.0,1000,0.618,1000,47.6,169,Above
-1.0,1000,0.618,1000,62.4,50,Below
-1.0,1000,0.786,1000,39.8,209,Above
-1.0,1000,0.786,1000,56.7,220,Below
-1.0,1000,1.0,1000,75.9,161,Above
-1.0,1000,1.0,1000,15.3,211,Below
-1.0,1100,-1.0,1100,99.3,49,Above
-1.0,1100,-1.0,1100,65.6,160,Below
-1.0,1100,-0.786,1100,56.4,56,Above
-1.0,1100,-0.786,1100,87.7,200,Below
-1.0,1100,-0.618,1100,90.4,173,Above
-1.0,1100,-0.618,1100,7.6,95,Below
-1.0,1100,-0.5,1100,11.8,183,Above
-1.0,1100,-0.5,1100,30.8,144,Below
-1.0,1100,-0.382,1100,45.3,33,Above
-1.0,1100,-0.382,1100,80.7,300,Below
-1.0,1100,-0.236,1100,77.7,251,Above
-1.0,1100,-0.236,1100,35.3,172,Below
-1.0,1100,0.0,1100,87.9,262,Above
-1.0,1100,0.0,1100,37.8,2,Below
-1.0,1100,0.236,1100,48.8,179,Above
-1.0,1100,0.236,1100,1.0,225,Below
-1.0,1100,0.382,1100,28.9,188,Above
-1.0,1100,0.382,1100,9.5,248,Below
-1.0,1100,0.5,1100,67.0,57,Above
-1.0,1100,0.5,1100,68.6,127,Below
-1.0,1100,0.618,1100,93.7,152,Above
-1.0,1100,0.618,1100,7.4,185,Below
-1.0,1100,0.786,1100,74.2,89,Above
-1.0,1100,0.786,1100,68.9,250,Below
-1.0,1100,1.0,1100,58.9,220,Above
-1.0,1100,1.0,1100,91.5,296,Below
-1.0,1200,-1.0,1200,33.4,193,Above
-1.0,1200,-1.0,1200,29.1,46,Below
-1.0,1200,-0.786,1200,89.6,192,Above
-1.0,1200,-0.786,1200,83.8,15,Below
-1.0,1200,-0.618,1200,14.6,292,Above
-1.0,1200,-0.618,1200,89.9,268,Below
-1.0,1200,-0.5,1200,88.1,274,Above
-1.0,1200,-0.5,1200,61.6,201,Below
-1.0,1200,-0.382,1200,27.4,97,Above
-1.0,1200,-0.382,1200,37.5,105,Below
-1.0,1200,-0.236,1200,64.6,248,Above
-1.0,1200,-0.236,1200,85.7,125,Below
-1.0,1200,0.0,1200,79.1,174,Above
-1.0,1200,0.0,1200,34.8,153,Below
-1.0,1200,0.236,1200,0.6,126,Above
-1.0,1200,0.236,1200,89.3,128,Below
-1.0,1200,0.382,1200,7.2,42,Above
-1.0,1200,0.382,1200,90.1,46,Below
-1.0,1200,0.5,1200,40.3,143,Above
-1.0,1200,0.5,1200,80.9,202,Below
-1.0,1200,0.618,1200,22.3,149,Above
-1.0,1200,0.618,1200,31.8,96,Below
-1.0,1200,0.786,1200,3.7,267,Above
-1.0,1200,0.786,1200,36.4,7,Below
-1.0,1200,1.0,1200,59.6,170,Above
-1.0,1200,1.0,1200,51.2,48,Below
-1.0,1300,-1.0,1300,19.0,187,Above
-1.0,1300,-1.0,1300,69.9,50,Below
-1.0,1300,-0.786,1300,90.5,230,Above
-1.0,1300,-0.786,1300,78.6,229,Below
-1.0,1300,-0.618,1300,88.5,220,Above
-1.0,1300,-0.618,1300,39.4,200,Below
-1.0,1300,-0.5,1300,39.1,287,Above
-1.0,1300,-0.5,1300,79.8,154,Below
-1.0,1300,-0.382,1300,4.9,256,Above
-1.0,1300,-0.382,1300,81.7,145,Below
-1.0,1300,-0.236,1300,7.1,65,Above
-1.0,1300,-0.236,1300,66.9,76,Below
-1.0,1300,0.0,1300,59.2,123,Above
-1.0,1300,0.0,1300,33.4,60,Below
-1.0,1300,0.236,1300,10.7,2,Above
-1.0,1300,0.236,1300,53.2,263,Below
-1.0,1300,0.382,1300,66.4,65,Above
-1.0,1300,0.382,1300,47.7,220,Below
-1.0,1300,0.5,1300,43.5,42,Above
-1.0,1300,0.5,1300,56.7,10,Below
-1.0,1300,0.618,1300,60.2,170,Above
-1.0,1300,0.618,1300,2.2,168,Below
-1.0,1300,0.786,1300,83.0,207,Above
-1.0,1300,0.786,1300,43.2,197,Below
-1.0,1300,1.0,1300,0.0,122,Above
-1.0,1300,1.0,1300,89.4,186,Below
-1.0,1400,-1.0,1400,72.0,50,Above
-1.0,1400,-1.0,1400,76.4,59,Below
-1.0,1400,-0.786,1400,45.0,247,Above
-1.0,1400,-0.786,1400,13.9,74,Below
-1.0,1400,-0.618,1400,35.9,149,Above
-1.0,1400,-0.618,1400,74.8,79,Below
-1.0,1400,-0.5,1400,63.3,34,Above
-1.0,1400,-0.5,1400,88.5,12,Below
-1.0,1400,-0.382,1400,42.3,142,Above
-1.0,1400,-0.382,1400,58.4,155,Below
-1.0,1400,-0.236,1400,48.6,8,Above
-1.0,1400,-0.236,1400,93.0,134,Below
-1.0,1400,0.0,1400,53.7,242,Above
-1.0,1400,0.0,1400,64.4,59,Below
-1.0,1400,0.236,1400,40.0,140,Above
-1.0,1400,0.236,1400,62.2,277,Below
