trigger_level,trigger_hour,goal_level,goal_hour,percent_complete,raw_count,direction
-1.0,OPEN,-0.786,1400,79.7,24,Above
-1.0,OPEN,-0.618,1500,59.9,112,Above
-1.0,OPEN,-0.5,1000,10.0,97,Above
-1.0,OPEN,-0.382,1200,60.1,140,Above
-1.0,OPEN,-0.236,1300,5.6,97,Above
-1.0,OPEN,0.0,1300,0.1,30,Above
-1.0,OPEN,0.236,OPEN,30.4,31,Above
-1.0,OPEN,0.382,1600,29.1,68,Above
-1.0,OPEN,0.5,1000,38.2,73,Above
-1.0,OPEN,0.618,1600,4.6,60,Above
-1.0,OPEN,0.786,1400,17.1,27,Above
-1.0,OPEN,1.0,1100,94.2,23,Above
-1.0,0900,-0.786,0900,38.5,99,Above
-1.0,0900,-0.618,1200,23.1,101,Above
-1.0,0900,-0.5,1400,61.0,17,Above
-1.0,0900,-0.382,1000,90.9,59,Above
-1.0,0900,-0.236,1500,75.5,143,Above
-1.0,0900,0.0,1300,54.7,63,Above
-1.0,0900,0.236,0900,77.5,23,Above
-1.0,0900,0.382,1500,57.0,49,Above
-1.0,0900,0.5,1200,38.9,91,Above
-1.0,0900,0.618,1200,58.7,133,Above
-1.0,0900,0.786,1600,29.6,54,Above
-1.0,0900,1.0,OPEN,1.6,18,Above
-1.0,1000,-0.786,1500,39.5,145,Above
-1.0,1000,-0.618,1500,1.4,90,Above
-1.0,1000,-0.5,1500,72.9,42,Above
-1.0,1000,-0.382,1200,92.6,50,Above
-1.0,1000,-0.236,1400,85.0,21,Above
-1.0,1000,0.0,0900,9.5,71,Above
-1.0,1000,0.236,1500,66.6,113,Above
-1.0,1000,0.382,1300,88.7,110,Above
-1.0,1000,0.5,1000,76.1,112,Above
-1.0,1000,0.618,1600,71.1,99,Above
-1.0,1000,0.786,1000,3.1,61,Above
-1.0,1000,1.0,1100,90.8,38,Above
-1.0,1100,-0.786,1100,94.3,80,Above
-1.0,1100,-0.618,1000,16.1,75,Above
-1.0,1100,-0.5,1600,10.5,37,Above
-1.0,1100,-0.382,1100,89.3,84,Above
-1.0,1100,-0.236,1400,89.6,138,Above
-1.0,1100,0.0,1600,64.8,130,Above
-1.0,1100,0.236,1100,35.3,12,Above
-1.0,1100,0.382,1400,16.5,146,Above
-1.0,1100,0.5,1200,69.2,68,Above
-1.0,1100,0.618,1300,21.9,122,Above
-1.0,1100,0.786,OPEN,25.4,21,Above
