GoalLevel,1000,1100,1200,1300,1400,1500,9:00,OPEN
1.0,34.002974535906866,34.36236863051517,25.511607461422297,18.624310261940924,20.90477737469995,7.44489428699955,53.14278086240089,
0.786,43.381756338899194,42.12413502762076,32.817207790434544,26.46400492654848,27.018472395184723,9.228497653662128,67.26080489478828,
0.618,54.931249480121664,50.43258919669881,45.2689749840248,50.60975609756097,39.72187629721876,16.35267145135566,74.95368420762907,
0.5,62.24638978398377,61.35406821891915,52.76252573781744,55.19744483159117,48.4744707347447,14.488636363636363,79.84148315126293,
0.382,66.83673469387756,61.165048543689316,53.191489361702125,58.536585365853654,58.9041095890411,20.3125,84.65189873417721,
-0.382,67.65957446808511,75.92592592592592,60.37735849056604,62.31884057971014,58.9041095890411,42.1875,84.85958485958486,87.22222222222223
-0.5,62.56744900197411,66.57147802007614,56.31925726265349,49.2402992052361,52.66144814090019,41.29621478873239,79.33836996336996,82.42770167427702
-0.618,59.48124588725597,58.309295796315524,51.442093894924085,50.72703515901272,52.573109113624554,34.71829128781125,75.09337068160598,78.90360223236935
-0.786,54.62344189623564,45.394949598363226,44.27983791191338,38.726149376570135,43.19797091114133,22.192976074224404,67.62107509355795,69.03703036129136
-1.0,41.58084517892777,38.00668396457706,32.9471716264169,32.290058001839206,34.47546864756109,14.913440655440121,58.11611816348373,60.98713327047862
