TriggerLevel,TriggerTime,GoalLevel,GoalHits,TotalTriggers,Completion%,AnyGoalHits,OverallCompletion%
-0.786,1000,-1.0,90,123,73.17,90,73.17
-0.786,1100,-1.0,55,82,67.07,55,67.07
-0.786,1200,-1.0,30,45,66.67,30,66.67
-0.786,1300,-1.0,26,42,61.9,26,61.9
-0.786,1400,-1.0,26,47,55.32,26,55.32
-0.786,1500,-1.0,27,72,37.5,27,37.5
-0.786,9:00,-1.0,167,208,80.29,167,80.29
-0.786,OPEN,-1.0,24,26,92.31,24,92.31
-0.618,1000,-1.0,81,162,50.0,127,78.4
-0.618,1000,-0.786,127,162,78.4,127,78.4
-0.618,1100,-1.0,35,71,49.3,50,70.42
-0.618,1100,-0.786,50,71,70.42,50,70.42
-0.618,1200,-1.0,26,54,48.15,40,74.07
-0.618,1200,-0.786,40,54,74.07,40,74.07
-0.618,1300,-1.0,21,56,37.5,34,60.71
-0.618,1300,-0.786,34,56,60.71,34,60.71
-0.618,1400,-1.0,25,56,44.64,39,69.64
-0.618,1400,-0.786,39,56,69.64,39,69.64
-0.618,1500,-1.0,14,77,18.18,32,41.56
-0.618,1500,-0.786,32,77,41.56,32,41.56
-0.618,9:00,-1.0,221,326,67.79,277,84.97
-0.618,9:00,-0.786,277,326,84.97,277,84.97
-0.618,OPEN,-1.0,27,38,71.05,32,84.21
-0.618,OPEN,-0.786,32,38,84.21,32,84.21
-0.5,1000,-1.0,74,188,39.36,153,81.38
-0.5,1000,-0.786,120,188,63.83,153,81.38
-0.5,1000,-0.618,153,188,81.38,153,81.38
-0.5,1100,-1.0,28,81,34.57,58,71.6
-0.5,1100,-0.786,38,81,46.91,58,71.6
-0.5,1100,-0.618,58,81,71.6,58,71.6
-0.5,1200,-1.0,15,66,22.73,49,74.24
-0.5,1200,-0.786,35,66,53.03,49,74.24
-0.5,1200,-0.618,49,66,74.24,49,74.24
-0.5,1300,-1.0,16,52,30.77,42,80.77
-0.5,1300,-0.786,24,52,46.15,42,80.77
-0.5,1300,-0.618,42,52,80.77,42,80.77
-0.5,1400,-1.0,22,59,37.29,45,76.27
-0.5,1400,-0.786,31,59,52.54,45,76.27
-0.5,1400,-0.618,45,59,76.27,45,76.27
-0.5,1500,-1.0,8,79,10.13,42,53.16
-0.5,1500,-0.786,20,79,25.32,42,53.16
-0.5,1500,-0.618,42,79,53.16,42,53.16
-0.5,9:00,-1.0,257,442,58.14,389,88.01
-0.5,9:00,-0.786,329,442,74.43,389,88.01
-0.5,9:00,-0.618,389,442,88.01,389,88.01
-0.5,OPEN,-1.0,30,50,60.0,46,92.0
-0.5,OPEN,-0.786,37,50,74.0,46,92.0
-0.5,OPEN,-0.618,46,50,92.0,46,92.0
-0.382,1000,-1.0,55,194,28.35,147,75.77
-0.382,1000,-0.786,91,194,46.91,147,75.77
-0.382,1000,-0.618,114,194,58.76,147,75.77
-0.382,1000,-0.5,147,194,75.77,147,75.77
-0.382,1100,-1.0,24,107,22.43,85,79.44
-0.382,1100,-0.786,41,107,38.32,85,79.44
-0.382,1100,-0.618,63,107,58.88,85,79.44
-0.382,1100,-0.5,85,107,79.44,85,79.44
-0.382,1200,-1.0,10,63,15.87,46,73.02
-0.382,1200,-0.786,22,63,34.92,46,73.02
-0.382,1200,-0.618,35,63,55.56,46,73.02
-0.382,1200,-0.5,46,63,73.02,46,73.02
-0.382,1300,-1.0,14,62,22.58,35,56.45
-0.382,1300,-0.786,19,62,30.65,35,56.45
-0.382,1300,-0.618,29,62,46.77,35,56.45
-0.382,1300,-0.5,35,62,56.45,35,56.45
-0.382,1400,-1.0,15,70,21.43,44,62.86
-0.382,1400,-0.786,22,70,31.43,44,62.86
-0.382,1400,-0.618,34,70,48.57,44,62.86
-0.382,1400,-0.5,44,70,62.86,44,62.86
-0.382,1500,-1.0,4,71,5.63,42,59.15
-0.382,1500,-0.786,10,71,14.08,42,59.15
-0.382,1500,-0.618,24,71,33.8,42,59.15
-0.382,1500,-0.5,42,71,59.15,42,59.15
-0.382,9:00,-1.0,294,624,47.12,533,85.42
-0.382,9:00,-0.786,380,624,60.9,533,85.42
-0.382,9:00,-0.618,468,624,75.0,533,85.42
-0.382,9:00,-0.5,533,624,85.42,533,85.42
-0.382,OPEN,-1.0,34,73,46.58,66,90.41
-0.382,OPEN,-0.786,50,73,68.49,66,90.41
-0.382,OPEN,-0.618,59,73,80.82,66,90.41
-0.382,OPEN,-0.5,66,73,90.41,66,90.41
-0.236,1000,-1.0,40,235,17.02,159,67.66
-0.236,1000,-0.786,69,235,29.36,159,67.66
-0.236,1000,-0.618,90,235,38.3,159,67.66
-0.236,1000,-0.5,116,235,49.36,159,67.66
-0.236,1000,-0.382,159,235,67.66,159,67.66
-0.236,1100,-1.0,18,108,16.67,82,75.93
-0.236,1100,-0.786,28,108,25.93,82,75.93
-0.236,1100,-0.618,48,108,44.44,82,75.93
-0.236,1100,-0.5,58,108,53.7,82,75.93
-0.236,1100,-0.382,82,108,75.93,82,75.93
-0.236,1200,-1.0,6,53,11.32,32,60.38
-0.236,1200,-0.786,8,53,15.09,32,60.38
-0.236,1200,-0.618,13,53,24.53,32,60.38
-0.236,1200,-0.5,21,53,39.62,32,60.38
-0.236,1200,-0.382,32,53,60.38,32,60.38
-0.236,1300,-1.0,6,69,8.7,43,62.32
-0.236,1300,-0.786,12,69,17.39,43,62.32
-0.236,1300,-0.618,17,69,24.64,43,62.32
-0.236,1300,-0.5,29,69,42.03,43,62.32
-0.236,1300,-0.382,43,69,62.32,43,62.32
-0.236,1400,-1.0,10,73,13.7,43,58.9
-0.236,1400,-0.786,14,73,19.18,43,58.9
-0.236,1400,-0.618,24,73,32.88,43,58.9
-0.236,1400,-0.5,31,73,42.47,43,58.9
-0.236,1400,-0.382,43,73,58.9,43,58.9
-0.236,1500,-1.0,2,64,3.12,27,42.19
-0.236,1500,-0.786,5,64,7.81,27,42.19
-0.236,1500,-0.618,11,64,17.19,27,42.19
-0.236,1500,-0.5,15,64,23.44,27,42.19
-0.236,1500,-0.382,27,64,42.19,27,42.19
-0.236,9:00,-1.0,305,819,37.24,695,84.86
-0.236,9:00,-0.786,411,819,50.18,695,84.86
-0.236,9:00,-0.618,510,819,62.27,695,84.86
-0.236,9:00,-0.5,600,819,73.26,695,84.86
-0.236,9:00,-0.382,695,819,84.86,695,84.86
-0.236,OPEN,-1.0,63,180,35.0,157,87.22
-0.236,OPEN,-0.786,89,180,49.44,157,87.22
-0.236,OPEN,-0.618,115,180,63.89,157,87.22
-0.236,OPEN,-0.5,134,180,74.44,157,87.22
-0.236,OPEN,-0.382,157,180,87.22,157,87.22
0.236,1000,0.382,131,196,66.84,131,66.84
0.236,1000,0.5,95,196,48.47,131,66.84
0.236,1000,0.618,61,196,31.12,131,66.84
0.236,1000,0.786,34,196,17.35,131,66.84
0.236,1000,1.0,18,196,9.18,131,66.84
0.236,1100,0.382,63,103,61.17,63,61.17
0.236,1100,0.5,48,103,46.6,63,61.17
