GoalZone,GoalTime,TransitionCount,TriggerZone,TriggerTime,TotalTriggerOccurrences,TransitionPercentage,GoalTimeHourly,GoalTime10Min,Granularity
-0.236_to_0.0,940,2,-1.0_to_-0.786,930,152,1.32,0940,0940,10-Minute
-0.236_to_0.0,950,2,-1.0_to_-0.786,930,152,1.32,0950,0950,10-Minute
-0.236_to_0.0,1000,3,-1.0_to_-0.786,930,152,1.97,1000,1000,10-Minute
-0.236_to_0.0,1010,7,-1.0_to_-0.786,930,152,4.61,1010,1010,10-Minute
-0.236_to_0.0,1020,8,-1.0_to_-0.786,930,152,5.26,1020,1020,10-Minute
-0.236_to_0.0,1030,9,-1.0_to_-0.786,930,152,5.92,1030,1030,10-Minute
-0.236_to_0.0,1040,9,-1.0_to_-0.786,930,152,5.92,1040,1040,10-Minute
-0.236_to_0.0,1050,11,-1.0_to_-0.786,930,152,7.24,1050,1050,10-Minute
-0.236_to_0.0,1100,14,-1.0_to_-0.786,930,152,9.21,1100,1100,10-Minute
-0.236_to_0.0,1110,15,-1.0_to_-0.786,930,152,9.87,1110,1110,10-Minute
-0.236_to_0.0,1120,11,-1.0_to_-0.786,930,152,7.24,1120,1120,10-Minute
-0.236_to_0.0,1130,8,-1.0_to_-0.786,930,152,5.26,1130,1130,10-Minute
-0.236_to_0.0,1140,5,-1.0_to_-0.786,930,152,3.29,1140,1140,10-Minute
-0.236_to_0.0,1150,8,-1.0_to_-0.786,930,152,5.26,1150,1150,10-Minute
-0.236_to_0.0,1200,11,-1.0_to_-0.786,930,152,7.24,1200,1200,10-Minute
-0.236_to_0.0,1210,9,-1.0_to_-0.786,930,152,5.92,1210,1210,10-Minute
-0.236_to_0.0,1220,12,-1.0_to_-0.786,930,152,7.89,1220,1220,10-Minute
-0.236_to_0.0,1230,13,-1.0_to_-0.786,930,152,8.55,1230,1230,10-Minute
-0.236_to_0.0,1240,11,-1.0_to_-0.786,930,152,7.24,1240,1240,10-Minute
-0.236_to_0.0,1250,12,-1.0_to_-0.786,930,152,7.89,1250,1250,10-Minute
-0.236_to_0.0,1300,11,-1.0_to_-0.786,930,152,7.24,1300,1300,10-Minute
-0.236_to_0.0,1310,6,-1.0_to_-0.786,930,152,3.95,1310,1310,10-Minute
-0.236_to_0.0,1320,9,-1.0_to_-0.786,930,152,5.92,1320,1320,10-Minute
-0.236_to_0.0,1330,12,-1.0_to_-0.786,930,152,7.89,1330,1330,10-Minute
-0.236_to_0.0,1340,14,-1.0_to_-0.786,930,152,9.21,1340,1340,10-Minute
