TriggerLevel,GoalLevel,TriggerTime,Triggers,GoalsHit,CompletionRate
-0.786,-1.0,1000,123,90,73.17
-0.786,-1.0,1100,82,55,67.07
-0.786,-1.0,1200,45,30,66.67
-0.786,-1.0,1300,42,26,61.9
-0.786,-1.0,1400,47,26,55.32
-0.786,-1.0,1500,72,27,37.5
-0.786,-1.0,9:00,208,167,80.29
-0.786,-1.0,OPEN,26,24,92.31
-0.618,-1.0,1000,162,81,50.0
-0.618,-1.0,1100,71,35,49.3
-0.618,-1.0,1200,54,26,48.15
-0.618,-1.0,1300,56,21,37.5
-0.618,-1.0,1400,56,25,44.64
-0.618,-1.0,1500,77,14,18.18
-0.618,-1.0,9:00,326,221,67.79
-0.618,-1.0,OPEN,38,27,71.05
-0.618,-0.786,1000,162,127,78.4
-0.618,-0.786,1100,71,50,70.42
-0.618,-0.786,1200,54,40,74.07
-0.618,-0.786,1300,56,34,60.71
-0.618,-0.786,1400,56,39,69.64
-0.618,-0.786,1500,77,32,41.56
-0.618,-0.786,9:00,326,277,84.97
-0.618,-0.786,OPEN,38,32,84.21
-0.5,-1.0,1000,188,74,39.36
-0.5,-1.0,1100,81,28,34.57
-0.5,-1.0,1200,66,15,22.73
-0.5,-1.0,1300,52,16,30.77
-0.5,-1.0,1400,59,22,37.29
-0.5,-1.0,1500,79,8,10.13
-0.5,-1.0,9:00,442,257,58.14
-0.5,-1.0,OPEN,50,30,60.0
-0.5,-0.786,1000,188,120,63.83
-0.5,-0.786,1100,81,38,46.91
-0.5,-0.786,1200,66,35,53.03
-0.5,-0.786,1300,52,24,46.15
-0.5,-0.786,1400,59,31,52.54
-0.5,-0.786,1500,79,20,25.32
-0.5,-0.786,9:00,442,329,74.43
-0.5,-0.786,OPEN,50,37,74.0
-0.5,-0.618,1000,188,153,81.38
-0.5,-0.618,1100,81,58,71.6
-0.5,-0.618,1200,66,49,74.24
-0.5,-0.618,1300,52,42,80.77
-0.5,-0.618,1400,59,45,76.27
-0.5,-0.618,1500,79,42,53.16
-0.5,-0.618,9:00,442,389,88.01
-0.5,-0.618,OPEN,50,46,92.0
-0.382,-1.0,1000,194,55,28.35
-0.382,-1.0,1100,107,24,22.43
-0.382,-1.0,1200,63,10,15.87
-0.382,-1.0,1300,62,14,22.58
-0.382,-1.0,1400,70,15,21.43
-0.382,-1.0,1500,71,4,5.63
-0.382,-1.0,9:00,624,294,47.12
-0.382,-1.0,OPEN,73,34,46.58
-0.382,-0.786,1000,194,91,46.91
-0.382,-0.786,1100,107,41,38.32
-0.382,-0.786,1200,63,22,34.92
-0.382,-0.786,1300,62,19,30.65
-0.382,-0.786,1400,70,22,31.43
-0.382,-0.786,1500,71,10,14.08
-0.382,-0.786,9:00,624,380,60.9
-0.382,-0.786,OPEN,73,50,68.49
-0.382,-0.618,1000,194,114,58.76
-0.382,-0.618,1100,107,63,58.88
-0.382,-0.618,1200,63,35,55.56
-0.382,-0.618,1300,62,29,46.77
-0.382,-0.618,1400,70,34,48.57
-0.382,-0.618,1500,71,24,33.8
-0.382,-0.618,9:00,624,468,75.0
-0.382,-0.618,OPEN,73,59,80.82
-0.382,-0.5,1000,194,147,75.77
-0.382,-0.5,1100,107,85,79.44
-0.382,-0.5,1200,63,46,73.02
-0.382,-0.5,1300,62,35,56.45
-0.382,-0.5,1400,70,44,62.86
-0.382,-0.5,1500,71,42,59.15
-0.382,-0.5,9:00,624,533,85.42
-0.382,-0.5,OPEN,73,66,90.41
-0.236,-1.0,1000,235,40,17.02
-0.236,-1.0,1100,108,18,16.67
-0.236,-1.0,1200,53,6,11.32
-0.236,-1.0,1300,69,6,8.7
-0.236,-1.0,1400,73,10,13.7
-0.236,-1.0,1500,64,2,3.12
-0.236,-1.0,9:00,819,305,37.24
-0.236,-1.0,OPEN,180,63,35.0
-0.236,-0.786,1000,235,69,29.36
-0.236,-0.786,1100,108,28,25.93
-0.236,-0.786,1200,53,8,15.09
-0.236,-0.786,1300,69,12,17.39
-0.236,-0.786,1400,73,14,19.18
-0.236,-0.786,1500,64,5,7.81
-0.236,-0.786,9:00,819,411,50.18
-0.236,-0.786,OPEN,180,89,49.44
-0.236,-0.618,1000,235,90,38.3
-0.236,-0.618,1100,108,48,44.44
