Time,Zone,Frequency,TotalObservations,Percentage,TimeHourly,Time10Min,Granularity
930,-0.236_to_0.0,1157,6924,16.71,0900,0930,10-Minute
930,-0.382_to_-0.236,682,6924,9.85,0900,0930,10-Minute
930,-0.5_to_-0.382,453,6924,6.54,0900,0930,10-Minute
930,-0.618_to_-0.5,311,6924,4.49,0900,0930,10-Minute
930,-0.786_to_-0.618,235,6924,3.39,0900,0930,10-Minute
930,-1.0_to_-0.786,158,6924,2.28,0900,0930,10-Minute
930,0.0_to_0.236,1332,6924,19.24,0900,0930,10-Minute
930,0.236_to_0.382,884,6924,12.77,0900,0930,10-Minute
930,0.382_to_0.5,628,6924,9.07,0900,0930,10-Minute
930,0.5_to_0.618,450,6924,6.5,0900,0930,10-Minute
930,0.618_to_0.786,318,6924,4.59,0900,0930,10-Minute
930,0.786_to_1.0,152,6924,2.2,0900,0930,10-Minute
930,above_1.0,64,6924,0.92,0900,0930,10-Minute
930,below_-1.0,100,6924,1.44,0900,0930,10-Minute
940,-0.236_to_0.0,924,5327,17.35,0900,0940,10-Minute
940,-0.382_to_-0.236,502,5327,9.42,0900,0940,10-Minute
940,-0.5_to_-0.382,321,5327,6.03,0900,0940,10-Minute
940,-0.618_to_-0.5,237,5327,4.45,0900,0940,10-Minute
940,-0.786_to_-0.618,196,5327,3.68,0900,0940,10-Minute
940,-1.0_to_-0.786,142,5327,2.67,0900,0940,10-Minute
940,0.0_to_0.236,984,5327,18.47,0900,0940,10-Minute
940,0.236_to_0.382,641,5327,12.03,0900,0940,10-Minute
940,0.382_to_0.5,445,5327,8.35,0900,0940,10-Minute
940,0.5_to_0.618,319,5327,5.99,0900,0940,10-Minute
940,0.618_to_0.786,269,5327,5.05,0900,0940,10-Minute
940,0.786_to_1.0,156,5327,2.93,0900,0940,10-Minute
940,above_1.0,80,5327,1.5,0900,0940,10-Minute
940,below_-1.0,111,5327,2.08,0900,0940,10-Minute
950,-0.236_to_0.0,881,5029,17.52,0900,0950,10-Minute
950,-0.382_to_-0.236,478,5029,9.5,0900,0950,10-Minute
950,-0.5_to_-0.382,297,5029,5.91,0900,0950,10-Minute
950,-0.618_to_-0.5,213,5029,4.24,0900,0950,10-Minute
950,-0.786_to_-0.618,181,5029,3.6,0900,0950,10-Minute
950,-1.0_to_-0.786,131,5029,2.6,0900,0950,10-Minute
950,0.0_to_0.236,927,5029,18.43,0900,0950,10-Minute
950,0.236_to_0.382,580,5029,11.53,0900,0950,10-Minute
950,0.382_to_0.5,417,5029,8.29,0900,0950,10-Minute
950,0.5_to_0.618,302,5029,6.01,0900,0950,10-Minute
950,0.618_to_0.786,250,5029,4.97,0900,0950,10-Minute
950,0.786_to_1.0,167,5029,3.32,0900,0950,10-Minute
950,above_1.0,84,5029,1.67,0900,0950,10-Minute
950,below_-1.0,121,5029,2.41,0900,0950,10-Minute
1000,-0.236_to_0.0,915,5249,17.43,1000,1000,10-Minute
1000,-0.382_to_-0.236,475,5249,9.05,1000,1000,10-Minute
1000,-0.5_to_-0.382,333,5249,6.34,1000,1000,10-Minute
1000,-0.618_to_-0.5,252,5249,4.8,1000,1000,10-Minute
1000,-0.786_to_-0.618,196,5249,3.73,1000,1000,10-Minute
1000,-1.0_to_-0.786,143,5249,2.72,1000,1000,10-Minute
1000,0.0_to_0.236,944,5249,17.98,1000,1000,10-Minute
1000,0.236_to_0.382,557,5249,10.61,1000,1000,10-Minute
1000,0.382_to_0.5,419,5249,7.98,1000,1000,10-Minute
1000,0.5_to_0.618,342,5249,6.52,1000,1000,10-Minute
1000,0.618_to_0.786,252,5249,4.8,1000,1000,10-Minute
1000,0.786_to_1.0,179,5249,3.41,1000,1000,10-Minute
1000,above_1.0,107,5249,2.04,1000,1000,10-Minute
1000,below_-1.0,135,5249,2.57,1000,1000,10-Minute
1010,-0.236_to_0.0,875,4975,17.59,1000,1010,10-Minute
1010,-0.382_to_-0.236,447,4975,8.98,1000,1010,10-Minute
1010,-0.5_to_-0.382,305,4975,6.13,1000,1010,10-Minute
1010,-0.618_to_-0.5,240,4975,4.82,1000,1010,10-Minute
1010,-0.786_to_-0.618,180,4975,3.62,1000,1010,10-Minute
1010,-1.0_to_-0.786,130,4975,2.61,1000,1010,10-Minute
1010,0.0_to_0.236,928,4975,18.65,1000,1010,10-Minute
1010,0.236_to_0.382,528,4975,10.61,1000,1010,10-Minute
1010,0.382_to_0.5,361,4975,7.26,1000,1010,10-Minute
1010,0.5_to_0.618,306,4975,6.15,1000,1010,10-Minute
1010,0.618_to_0.786,244,4975,4.9,1000,1010,10-Minute
1010,0.786_to_1.0,172,4975,3.46,1000,1010,10-Minute
1010,above_1.0,112,4975,2.25,1000,1010,10-Minute
1010,below_-1.0,147,4975,2.95,1000,1010,10-Minute
1020,-0.236_to_0.0,829,4793,17.3,1000,1020,10-Minute
1020,-0.382_to_-0.236,423,4793,8.83,1000,1020,10-Minute
1020,-0.5_to_-0.382,291,4793,6.07,1000,1020,10-Minute
1020,-0.618_to_-0.5,226,4793,4.72,1000,1020,10-Minute
1020,-0.786_to_-0.618,184,4793,3.84,1000,1020,10-Minute
1020,-1.0_to_-0.786,142,4793,2.96,1000,1020,10-Minute
1020,0.0_to_0.236,897,4793,18.71,1000,1020,10-Minute
1020,0.236_to_0.382,513,4793,10.7,1000,1020,10-Minute
1020,0.382_to_0.5,349,4793,7.28,1000,1020,10-Minute
1020,0.5_to_0.618,259,4793,5.4,1000,1020,10-Minute
1020,0.618_to_0.786,231,4793,4.82,1000,1020,10-Minute
1020,0.786_to_1.0,179,4793,3.73,1000,1020,10-Minute
1020,above_1.0,118,4793,2.46,1000,1020,10-Minute
1020,below_-1.0,152,4793,3.17,1000,1020,10-Minute
1030,-0.236_to_0.0,801,4771,16.79,1000,1030,10-Minute
1030,-0.382_to_-0.236,445,4771,9.33,1000,1030,10-Minute
1030,-0.5_to_-0.382,288,4771,6.04,1000,1030,10-Minute
1030,-0.618_to_-0.5,224,4771,4.7,1000,1030,10-Minute
1030,-0.786_to_-0.618,192,4771,4.02,1000,1030,10-Minute
1030,-1.0_to_-0.786,151,4771,3.16,1000,1030,10-Minute
1030,0.0_to_0.236,846,4771,17.73,1000,1030,10-Minute
1030,0.236_to_0.382,511,4771,10.71,1000,1030,10-Minute
1030,0.382_to_0.5,355,4771,7.44,1000,1030,10-Minute
1030,0.5_to_0.618,262,4771,5.49,1000,1030,10-Minute
1030,0.618_to_0.786,233,4771,4.88,1000,1030,10-Minute
1030,0.786_to_1.0,189,4771,3.96,1000,1030,10-Minute
1030,above_1.0,115,4771,2.41,1000,1030,10-Minute
1030,below_-1.0,159,4771,3.33,1000,1030,10-Minute
1040,-0.236_to_0.0,792,4639,17.07,1000,1040,10-Minute
1040,-0.382_to_-0.236,418,4639,9.01,1000,1040,10-Minute
1040,-0.5_to_-0.382,281,4639,6.06,1000,1040,10-Minute
1040,-0.618_to_-0.5,215,4639,4.63,1000,1040,10-Minute
1040,-0.786_to_-0.618,170,4639,3.66,1000,1040,10-Minute
1040,-1.0_to_-0.786,145,4639,3.13,1000,1040,10-Minute
1040,0.0_to_0.236,819,4639,17.65,1000,1040,10-Minute
1040,0.236_to_0.382,500,4639,10.78,1000,1040,10-Minute
1040,0.382_to_0.5,337,4639,7.26,1000,1040,10-Minute
1040,0.5_to_0.618,252,4639,5.43,1000,1040,10-Minute
1040,0.618_to_0.786,230,4639,4.96,1000,1040,10-Minute
1040,0.786_to_1.0,193,4639,4.16,1000,1040,10-Minute
1040,above_1.0,124,4639,2.67,1000,1040,10-Minute
1040,below_-1.0,163,4639,3.51,1000,1040,10-Minute
1050,-0.236_to_0.0,767,4490,17.08,1000,1050,10-Minute
1050,-0.382_to_-0.236,381,4490,8.49,1000,1050,10-Minute
1050,-0.5_to_-0.382,249,4490,5.55,1000,1050,10-Minute
1050,-0.618_to_-0.5,196,4490,4.37,1000,1050,10-Minute
1050,-0.786_to_-0.618,180,4490,4.01,1000,1050,10-Minute
1050,-1.0_to_-0.786,139,4490,3.1,1000,1050,10-Minute
1050,0.0_to_0.236,812,4490,18.08,1000,1050,10-Minute
1050,0.236_to_0.382,487,4490,10.85,1000,1050,10-Minute
1050,0.382_to_0.5,324,4490,7.22,1000,1050,10-Minute
1050,0.5_to_0.618,246,4490,5.48,1000,1050,10-Minute
1050,0.618_to_0.786,217,4490,4.83,1000,1050,10-Minute
1050,0.786_to_1.0,187,4490,4.16,1000,1050,10-Minute
1050,above_1.0,135,4490,3.01,1000,1050,10-Minute
1050,below_-1.0,170,4490,3.79,1000,1050,10-Minute
1100,-0.236_to_0.0,761,4587,16.59,1100,1100,10-Minute
1100,-0.382_to_-0.236,398,4587,8.68,1100,1100,10-Minute
