Time,Zone,DaysOccupied,Percentage,TimeHourly,Time10Min,Granularity
930,-0.236_to_0.0,1157,42.52,0900,0930,10-Minute
930,-0.382_to_-0.236,682,25.06,0900,0930,10-Minute
930,-0.5_to_-0.382,453,16.65,0900,0930,10-Minute
930,-0.618_to_-0.5,311,11.43,0900,0930,10-Minute
930,-0.786_to_-0.618,235,8.64,0900,0930,10-Minute
930,-1.0_to_-0.786,158,5.81,0900,0930,10-Minute
930,0.0_to_0.236,1332,48.95,0900,0930,10-Minute
930,0.236_to_0.382,884,32.49,0900,0930,10-Minute
930,0.382_to_0.5,628,23.08,0900,0930,10-Minute
930,0.5_to_0.618,450,16.54,0900,0930,10-Minute
930,0.618_to_0.786,318,11.69,0900,0930,10-Minute
930,0.786_to_1.0,152,5.59,0900,0930,10-Minute
930,above_1.0,64,2.35,0900,0930,10-Minute
930,below_-1.0,100,3.68,0900,0930,10-Minute
940,-0.236_to_0.0,924,33.96,0900,0940,10-Minute
940,-0.382_to_-0.236,502,18.45,0900,0940,10-Minute
940,-0.5_to_-0.382,321,11.8,0900,0940,10-Minute
940,-0.618_to_-0.5,237,8.71,0900,0940,10-Minute
940,-0.786_to_-0.618,196,7.2,0900,0940,10-Minute
940,-1.0_to_-0.786,142,5.22,0900,0940,10-Minute
940,0.0_to_0.236,984,36.16,0900,0940,10-Minute
940,0.236_to_0.382,641,23.56,0900,0940,10-Minute
940,0.382_to_0.5,445,16.35,0900,0940,10-Minute
940,0.5_to_0.618,319,11.72,0900,0940,10-Minute
940,0.618_to_0.786,269,9.89,0900,0940,10-Minute
940,0.786_to_1.0,156,5.73,0900,0940,10-Minute
940,above_1.0,80,2.94,0900,0940,10-Minute
940,below_-1.0,111,4.08,0900,0940,10-Minute
950,-0.236_to_0.0,881,32.38,0900,0950,10-Minute
950,-0.382_to_-0.236,478,17.57,0900,0950,10-Minute
950,-0.5_to_-0.382,297,10.92,0900,0950,10-Minute
950,-0.618_to_-0.5,213,7.83,0900,0950,10-Minute
950,-0.786_to_-0.618,181,6.65,0900,0950,10-Minute
950,-1.0_to_-0.786,131,4.81,0900,0950,10-Minute
950,0.0_to_0.236,927,34.07,0900,0950,10-Minute
950,0.236_to_0.382,580,21.32,0900,0950,10-Minute
950,0.382_to_0.5,417,15.33,0900,0950,10-Minute
950,0.5_to_0.618,302,11.1,0900,0950,10-Minute
950,0.618_to_0.786,250,9.19,0900,0950,10-Minute
950,0.786_to_1.0,167,6.14,0900,0950,10-Minute
950,above_1.0,84,3.09,0900,0950,10-Minute
950,below_-1.0,121,4.45,0900,0950,10-Minute
1000,-0.236_to_0.0,915,33.63,1000,1000,10-Minute
1000,-0.382_to_-0.236,475,17.46,1000,1000,10-Minute
1000,-0.5_to_-0.382,333,12.24,1000,1000,10-Minute
1000,-0.618_to_-0.5,252,9.26,1000,1000,10-Minute
1000,-0.786_to_-0.618,196,7.2,1000,1000,10-Minute
1000,-1.0_to_-0.786,143,5.26,1000,1000,10-Minute
1000,0.0_to_0.236,944,34.69,1000,1000,10-Minute
1000,0.236_to_0.382,557,20.47,1000,1000,10-Minute
1000,0.382_to_0.5,419,15.4,1000,1000,10-Minute
1000,0.5_to_0.618,342,12.57,1000,1000,10-Minute
1000,0.618_to_0.786,252,9.26,1000,1000,10-Minute
1000,0.786_to_1.0,179,6.58,1000,1000,10-Minute
1000,above_1.0,107,3.93,1000,1000,10-Minute
1000,below_-1.0,135,4.96,1000,1000,10-Minute
1010,-0.236_to_0.0,875,32.16,1000,1010,10-Minute
1010,-0.382_to_-0.236,447,16.43,1000,1010,10-Minute
1010,-0.5_to_-0.382,305,11.21,1000,1010,10-Minute
1010,-0.618_to_-0.5,240,8.82,1000,1010,10-Minute
1010,-0.786_to_-0.618,180,6.62,1000,1010,10-Minute
1010,-1.0_to_-0.786,130,4.78,1000,1010,10-Minute
1010,0.0_to_0.236,928,34.11,1000,1010,10-Minute
1010,0.236_to_0.382,528,19.4,1000,1010,10-Minute
1010,0.382_to_0.5,361,13.27,1000,1010,10-Minute
1010,0.5_to_0.618,306,11.25,1000,1010,10-Minute
1010,0.618_to_0.786,244,8.97,1000,1010,10-Minute
1010,0.786_to_1.0,172,6.32,1000,1010,10-Minute
1010,above_1.0,112,4.12,1000,1010,10-Minute
1010,below_-1.0,147,5.4,1000,1010,10-Minute
1020,-0.236_to_0.0,829,30.47,1000,1020,10-Minute
1020,-0.382_to_-0.236,423,15.55,1000,1020,10-Minute
1020,-0.5_to_-0.382,291,10.69,1000,1020,10-Minute
1020,-0.618_to_-0.5,226,8.31,1000,1020,10-Minute
1020,-0.786_to_-0.618,184,6.76,1000,1020,10-Minute
1020,-1.0_to_-0.786,142,5.22,1000,1020,10-Minute
1020,0.0_to_0.236,897,32.97,1000,1020,10-Minute
1020,0.236_to_0.382,513,18.85,1000,1020,10-Minute
1020,0.382_to_0.5,349,12.83,1000,1020,10-Minute
1020,0.5_to_0.618,259,9.52,1000,1020,10-Minute
1020,0.618_to_0.786,231,8.49,1000,1020,10-Minute
1020,0.786_to_1.0,179,6.58,1000,1020,10-Minute
1020,above_1.0,118,4.34,1000,1020,10-Minute
1020,below_-1.0,152,5.59,1000,1020,10-Minute
1030,-0.236_to_0.0,801,29.44,1000,1030,10-Minute
