TimeHourly,Zone,Frequency,TotalObservations,Percentage,Granularity
0000,-0.236_to_0.0,4425,25669,17.24,Hourly
0000,-0.382_to_-0.236,2521,25669,9.82,Hourly
0000,-0.5_to_-0.382,1900,25669,7.4,Hourly
0000,-0.618_to_-0.5,1635,25669,6.37,Hourly
0000,-0.786_to_-0.618,1455,25669,5.67,Hourly
0000,-1.0_to_-0.786,1278,25669,4.98,Hourly
0000,0.0_to_0.236,3963,25669,15.44,Hourly
0000,0.236_to_0.382,2024,25669,7.88,Hourly
0000,0.382_to_0.5,1365,25669,5.32,Hourly
0000,0.5_to_0.618,1046,25669,4.07,Hourly
0000,0.618_to_0.786,938,25669,3.65,Hourly
0000,0.786_to_1.0,798,25669,3.11,Hourly
0000,above_1.0,1248,25669,4.86,Hourly
0000,below_-1.0,1073,25669,4.18,Hourly
0100,-0.236_to_0.0,4376,26132,16.75,Hourly
0100,-0.382_to_-0.236,2654,26132,10.16,Hourly
0100,-0.5_to_-0.382,1982,26132,7.58,Hourly
0100,-0.618_to_-0.5,1670,26132,6.39,Hourly
0100,-0.786_to_-0.618,1500,26132,5.74,Hourly
0100,-1.0_to_-0.786,1247,26132,4.77,Hourly
0100,0.0_to_0.236,4041,26132,15.46,Hourly
0100,0.236_to_0.382,2069,26132,7.92,Hourly
0100,0.382_to_0.5,1350,26132,5.17,Hourly
0100,0.5_to_0.618,1112,26132,4.26,Hourly
0100,0.618_to_0.786,1029,26132,3.94,Hourly
0100,0.786_to_1.0,803,26132,3.07,Hourly
0100,above_1.0,1281,26132,4.9,Hourly
0100,below_-1.0,1018,26132,3.9,Hourly
0200,-0.236_to_0.0,4799,27851,17.23,Hourly
0200,-0.382_to_-0.236,2786,27851,10.0,Hourly
0200,-0.5_to_-0.382,2091,27851,7.51,Hourly
0200,-0.618_to_-0.5,1855,27851,6.66,Hourly
0200,-0.786_to_-0.618,1666,27851,5.98,Hourly
0200,-1.0_to_-0.786,1236,27851,4.44,Hourly
0200,0.0_to_0.236,4328,27851,15.54,Hourly
0200,0.236_to_0.382,2134,27851,7.66,Hourly
0200,0.382_to_0.5,1473,27851,5.29,Hourly
0200,0.5_to_0.618,1203,27851,4.32,Hourly
0200,0.618_to_0.786,1133,27851,4.07,Hourly
0200,0.786_to_1.0,844,27851,3.03,Hourly
0200,above_1.0,1300,27851,4.67,Hourly
0200,below_-1.0,1003,27851,3.6,Hourly
0300,-0.236_to_0.0,5377,30988,17.35,Hourly
0300,-0.382_to_-0.236,3253,30988,10.5,Hourly
0300,-0.5_to_-0.382,2440,30988,7.87,Hourly
0300,-0.618_to_-0.5,1998,30988,6.45,Hourly
0300,-0.786_to_-0.618,1850,30988,5.97,Hourly
0300,-1.0_to_-0.786,1311,30988,4.23,Hourly
0300,0.0_to_0.236,4741,30988,15.3,Hourly
0300,0.236_to_0.382,2380,30988,7.68,Hourly
0300,0.382_to_0.5,1725,30988,5.57,Hourly
