TimeHourly,Zone,Frequency,TotalObservations,Percentage,Granularity
0900,-0.236_to_0.0,2962,17280,17.14,Hourly
0900,-0.382_to_-0.236,1662,17280,9.62,Hourly
0900,-0.5_to_-0.382,1071,17280,6.2,Hourly
0900,-0.618_to_-0.5,761,17280,4.4,Hourly
0900,-0.786_to_-0.618,612,17280,3.54,Hourly
0900,-1.0_to_-0.786,431,17280,2.49,Hourly
0900,0.0_to_0.236,3243,17280,18.77,Hourly
0900,0.236_to_0.382,2105,17280,12.18,Hourly
0900,0.382_to_0.5,1490,17280,8.62,Hourly
0900,0.5_to_0.618,1071,17280,6.2,Hourly
0900,0.618_to_0.786,837,17280,4.84,Hourly
0900,0.786_to_1.0,475,17280,2.75,Hourly
0900,above_1.0,228,17280,1.32,Hourly
0900,below_-1.0,332,17280,1.92,Hourly
1000,-0.236_to_0.0,4979,28917,17.22,Hourly
1000,-0.382_to_-0.236,2589,28917,8.95,Hourly
1000,-0.5_to_-0.382,1747,28917,6.04,Hourly
1000,-0.618_to_-0.5,1353,28917,4.68,Hourly
1000,-0.786_to_-0.618,1102,28917,3.81,Hourly
1000,-1.0_to_-0.786,850,28917,2.94,Hourly
1000,0.0_to_0.236,5246,28917,18.14,Hourly
1000,0.236_to_0.382,3096,28917,10.71,Hourly
1000,0.382_to_0.5,2145,28917,7.42,Hourly
1000,0.5_to_0.618,1667,28917,5.76,Hourly
1000,0.618_to_0.786,1407,28917,4.87,Hourly
1000,0.786_to_1.0,1099,28917,3.8,Hourly
1000,above_1.0,711,28917,2.46,Hourly
1000,below_-1.0,926,28917,3.2,Hourly
1100,-0.236_to_0.0,4199,26073,16.1,Hourly
1100,-0.382_to_-0.236,2183,26073,8.37,Hourly
1100,-0.5_to_-0.382,1421,26073,5.45,Hourly
1100,-0.618_to_-0.5,1153,26073,4.42,Hourly
1100,-0.786_to_-0.618,1195,26073,4.58,Hourly
1100,-1.0_to_-0.786,875,26073,3.36,Hourly
1100,0.0_to_0.236,4424,26073,16.97,Hourly
1100,0.236_to_0.382,2720,26073,10.43,Hourly
1100,0.382_to_0.5,1893,26073,7.26,Hourly
1100,0.5_to_0.618,1467,26073,5.63,Hourly
1100,0.618_to_0.786,1384,26073,5.31,Hourly
1100,0.786_to_1.0,1202,26073,4.61,Hourly
1100,above_1.0,896,26073,3.44,Hourly
1100,below_-1.0,1061,26073,4.07,Hourly
1200,-0.236_to_0.0,3794,24121,15.73,Hourly
1200,-0.382_to_-0.236,2033,24121,8.43,Hourly
1200,-0.5_to_-0.382,1377,24121,5.71,Hourly
1200,-0.618_to_-0.5,1060,24121,4.39,Hourly
1200,-0.786_to_-0.618,1068,24121,4.43,Hourly
1200,-1.0_to_-0.786,890,24121,3.69,Hourly
1200,0.0_to_0.236,3925,24121,16.27,Hourly
1200,0.236_to_0.382,2348,24121,9.73,Hourly
1200,0.382_to_0.5,1681,24121,6.97,Hourly
1200,0.5_to_0.618,1266,24121,5.25,Hourly
1200,0.618_to_0.786,1336,24121,5.54,Hourly
1200,0.786_to_1.0,1197,24121,4.96,Hourly
1200,above_1.0,1018,24121,4.22,Hourly
1200,below_-1.0,1128,24121,4.68,Hourly
1300,-0.236_to_0.0,3730,23916,15.6,Hourly
1300,-0.382_to_-0.236,2050,23916,8.57,Hourly
1300,-0.5_to_-0.382,1327,23916,5.55,Hourly
1300,-0.618_to_-0.5,1100,23916,4.6,Hourly
1300,-0.786_to_-0.618,1042,23916,4.36,Hourly
1300,-1.0_to_-0.786,835,23916,3.49,Hourly
1300,0.0_to_0.236,3773,23916,15.78,Hourly
1300,0.236_to_0.382,2114,23916,8.84,Hourly
1300,0.382_to_0.5,1571,23916,6.57,Hourly
1300,0.5_to_0.618,1379,23916,5.77,Hourly
1300,0.618_to_0.786,1311,23916,5.48,Hourly
1300,0.786_to_1.0,1247,23916,5.21,Hourly
1300,above_1.0,1194,23916,4.99,Hourly
1300,below_-1.0,1243,23916,5.2,Hourly
1400,-0.236_to_0.0,3782,24680,15.32,Hourly
1400,-0.382_to_-0.236,2202,24680,8.92,Hourly
1400,-0.5_to_-0.382,1315,24680,5.33,Hourly
1400,-0.618_to_-0.5,997,24680,4.04,Hourly
1400,-0.786_to_-0.618,1068,24680,4.33,Hourly
1400,-1.0_to_-0.786,881,24680,3.57,Hourly
1400,0.0_to_0.236,3694,24680,14.97,Hourly
1400,0.236_to_0.382,2253,24680,9.13,Hourly
1400,0.382_to_0.5,1686,24680,6.83,Hourly
1400,0.5_to_0.618,1383,24680,5.6,Hourly
1400,0.618_to_0.786,1335,24680,5.41,Hourly
1400,0.786_to_1.0,1217,24680,4.93,Hourly
1400,above_1.0,1484,24680,6.01,Hourly
1400,below_-1.0,1383,24680,5.6,Hourly
1500,-0.236_to_0.0,3697,25928,14.26,Hourly
1500,-0.382_to_-0.236,2121,25928,8.18,Hourly
1500,-0.5_to_-0.382,1481,25928,5.71,Hourly
1500,-0.618_to_-0.5,1242,25928,4.79,Hourly
1500,-0.786_to_-0.618,1161,25928,4.48,Hourly
1500,-1.0_to_-0.786,1070,25928,4.13,Hourly
1500,0.0_to_0.236,3686,25928,14.22,Hourly
1500,0.236_to_0.382,2228,25928,8.59,Hourly
1500,0.382_to_0.5,1711,25928,6.6,Hourly
1500,0.5_to_0.618,1416,25928,5.46,Hourly
1500,0.618_to_0.786,1451,25928,5.6,Hourly
1500,0.786_to_1.0,1395,25928,5.38,Hourly
1500,above_1.0,1727,25928,6.66,Hourly
1500,below_-1.0,1542,25928,5.95,Hourly
