TimeHourly,Zone,DaysOccupied,Percentage,Granularity
0900,-0.236_to_0.0,1341,49.28,Hourly
0900,-0.382_to_-0.236,841,30.91,Hourly
0900,-0.5_to_-0.382,591,21.72,Hourly
0900,-0.618_to_-0.5,421,15.47,Hourly
0900,-0.786_to_-0.618,322,11.83,Hourly
0900,-1.0_to_-0.786,215,7.9,Hourly
0900,0.0_to_0.236,1486,54.61,Hourly
0900,0.236_to_0.382,1047,38.48,Hourly
0900,0.382_to_0.5,758,27.86,Hourly
0900,0.5_to_0.618,564,20.73,Hourly
0900,0.618_to_0.786,411,15.1,Hourly
0900,0.786_to_1.0,228,8.38,Hourly
0900,above_1.0,100,3.68,Hourly
0900,below_-1.0,141,5.18,Hourly
1000,-0.236_to_0.0,1290,47.41,Hourly
1000,-0.382_to_-0.236,823,30.25,Hourly
1000,-0.5_to_-0.382,583,21.43,Hourly
1000,-0.618_to_-0.5,460,16.91,Hourly
1000,-0.786_to_-0.618,373,13.71,Hourly
1000,-1.0_to_-0.786,266,9.78,Hourly
1000,0.0_to_0.236,1317,48.4,Hourly
1000,0.236_to_0.382,911,33.48,Hourly
1000,0.382_to_0.5,668,24.55,Hourly
1000,0.5_to_0.618,529,19.44,Hourly
1000,0.618_to_0.786,419,15.4,Hourly
1000,0.786_to_1.0,297,10.92,Hourly
1000,above_1.0,174,6.39,Hourly
1000,below_-1.0,212,7.79,Hourly
1100,-0.236_to_0.0,1053,38.7,Hourly
1100,-0.382_to_-0.236,643,23.63,Hourly
1100,-0.5_to_-0.382,472,17.35,Hourly
1100,-0.618_to_-0.5,374,13.74,Hourly
1100,-0.786_to_-0.618,331,12.16,Hourly
1100,-1.0_to_-0.786,266,9.78,Hourly
1100,0.0_to_0.236,1110,40.79,Hourly
1100,0.236_to_0.382,752,27.64,Hourly
1100,0.382_to_0.5,562,20.65,Hourly
1100,0.5_to_0.618,442,16.24,Hourly
1100,0.618_to_0.786,377,13.86,Hourly
1100,0.786_to_1.0,307,11.28,Hourly
1100,above_1.0,198,7.28,Hourly
1100,below_-1.0,223,8.2,Hourly
1200,-0.236_to_0.0,905,33.26,Hourly
1200,-0.382_to_-0.236,560,20.58,Hourly
1200,-0.5_to_-0.382,435,15.99,Hourly
1200,-0.618_to_-0.5,332,12.2,Hourly
1200,-0.786_to_-0.618,315,11.58,Hourly
1200,-1.0_to_-0.786,247,9.08,Hourly
1200,0.0_to_0.236,940,34.55,Hourly
1200,0.236_to_0.382,625,22.97,Hourly
1200,0.382_to_0.5,478,17.57,Hourly
1200,0.5_to_0.618,382,14.04,Hourly
1200,0.618_to_0.786,352,12.94,Hourly
1200,0.786_to_1.0,286,10.51,Hourly
1200,above_1.0,211,7.75,Hourly
1200,below_-1.0,231,8.49,Hourly
1300,-0.236_to_0.0,899,33.04,Hourly
1300,-0.382_to_-0.236,582,21.39,Hourly
1300,-0.5_to_-0.382,406,14.92,Hourly
1300,-0.618_to_-0.5,340,12.5,Hourly
1300,-0.786_to_-0.618,309,11.36,Hourly
1300,-1.0_to_-0.786,244,8.97,Hourly
1300,0.0_to_0.236,877,32.23,Hourly
1300,0.236_to_0.382,561,20.62,Hourly
1300,0.382_to_0.5,451,16.57,Hourly
1300,0.5_to_0.618,381,14.0,Hourly
1300,0.618_to_0.786,345,12.68,Hourly
1300,0.786_to_1.0,298,10.95,Hourly
1300,above_1.0,248,9.11,Hourly
1300,below_-1.0,253,9.3,Hourly
1400,-0.236_to_0.0,938,34.47,Hourly
1400,-0.382_to_-0.236,631,23.19,Hourly
1400,-0.5_to_-0.382,445,16.35,Hourly
1400,-0.618_to_-0.5,336,12.35,Hourly
1400,-0.786_to_-0.618,300,11.03,Hourly
1400,-1.0_to_-0.786,245,9.0,Hourly
1400,0.0_to_0.236,915,33.63,Hourly
1400,0.236_to_0.382,612,22.49,Hourly
1400,0.382_to_0.5,479,17.6,Hourly
1400,0.5_to_0.618,398,14.63,Hourly
1400,0.618_to_0.786,361,13.27,Hourly
1400,0.786_to_1.0,298,10.95,Hourly
1400,above_1.0,293,10.77,Hourly
1400,below_-1.0,284,10.44,Hourly
1500,-0.236_to_0.0,916,33.66,Hourly
1500,-0.382_to_-0.236,623,22.9,Hourly
1500,-0.5_to_-0.382,481,17.68,Hourly
1500,-0.618_to_-0.5,401,14.74,Hourly
1500,-0.786_to_-0.618,364,13.38,Hourly
1500,-1.0_to_-0.786,300,11.03,Hourly
1500,0.0_to_0.236,898,33.0,Hourly
1500,0.236_to_0.382,652,23.96,Hourly
1500,0.382_to_0.5,508,18.67,Hourly
1500,0.5_to_0.618,431,15.84,Hourly
1500,0.618_to_0.786,418,15.36,Hourly
1500,0.786_to_1.0,364,13.38,Hourly
1500,above_1.0,358,13.16,Hourly
1500,below_-1.0,325,11.94,Hourly
